sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid,sex-race
1,30,25 - 45,0,0,0,0,8,M,Possess Cannabis/20 Grams Or Less,1,Male-African-American
1,25,25 - 45,0,1,6,1,14,F,arrest case no charge,1,Male-African-American
1,20,Less than 25,0,0,0,0,0,F,Tampering With Physical Evidence,1,Male-Other
0,35,25 - 45,0,0,0,0,1,M,arrest case no charge,0,Female-African-American
1,25,25 - 45,1,0,0,0,9,F,Pos Cannabis W/Intent Sel/Del,1,Male-Caucasian
0,20,Less than 25,1,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Female-Caucasian
0,54,Greater than 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Female-Caucasian
0,44,25 - 45,0,0,0,0,0,M,Battery,0,Female-Hispanic
1,19,Less than 25,0,0,0,0,1,M,Battery,1,Male-African-American
1,30,25 - 45,0,0,0,0,1,F,Fail To Redeliv Hire/Leas Prop,0,Male-African-American
0,39,25 - 45,1,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Female-Caucasian
1,30,25 - 45,1,0,0,0,0,F,Possession Of Methamphetamine,0,Male-Caucasian
1,31,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,39,25 - 45,1,0,0,0,1,F,Possession of Morphine,0,Female-Caucasian
1,43,25 - 45,1,0,0,0,1,F,Possession of Cocaine,0,Male-Caucasian
1,34,25 - 45,1,0,0,0,0,F,Aggravated Assault w/Firearm,0,Male-Caucasian
1,37,25 - 45,0,0,0,0,3,F,"Poss3,4 Methylenedioxymethcath",0,Male-African-American
1,31,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
0,30,25 - 45,0,0,0,0,1,F,Crim Use of Personal ID Info,0,Female-Other
1,31,25 - 45,1,0,0,0,13,F,arrest case no charge,1,Male-Caucasian
1,52,Greater than 45,1,0,0,0,3,M,Battery,0,Male-Caucasian
1,42,25 - 45,1,0,0,0,6,F,Possession Of Alprazolam,0,Male-Caucasian
0,25,25 - 45,1,0,0,0,2,F,arrest case no charge,0,Female-Caucasian
1,30,25 - 45,1,0,0,0,1,M,Agg Fleeing and Eluding,0,Male-Caucasian
0,37,25 - 45,0,0,0,0,2,M,Petit Theft,0,Female-Other
0,24,Less than 25,0,0,0,0,0,M,Battery,0,Female-African-American
1,31,25 - 45,0,0,0,0,1,M,Lewdness Violation,0,Male-African-American
0,20,Less than 25,0,1,0,0,1,F,arrest case no charge,0,Female-African-American
0,43,25 - 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Female-Caucasian
1,32,25 - 45,0,0,0,0,11,F,Poss Pyrrolidinovalerophenone,1,Male-African-American
1,33,25 - 45,0,0,0,0,8,M,Assault,1,Male-African-American
0,20,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Female-African-American
0,26,25 - 45,1,0,0,0,0,M,Fail To Obey Police Officer,0,Female-Caucasian
1,63,Greater than 45,0,0,0,0,1,F,arrest case no charge,0,Male-Hispanic
0,32,25 - 45,0,0,0,0,4,F,arrest case no charge,1,Female-African-American
1,29,25 - 45,0,0,0,0,1,F,Grand Theft in the 3rd Degree,0,Male-Hispanic
1,30,25 - 45,0,0,0,0,1,F,Burglary Conveyance Assault/Bat,0,Male-African-American
1,48,Greater than 45,1,0,0,0,2,M,Battery,0,Male-Caucasian
1,22,Less than 25,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,31,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,Male-Caucasian
1,23,Less than 25,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Male-Hispanic
0,32,25 - 45,0,0,0,0,5,F,Aggravated Assault W/dead Weap,0,Female-African-American
1,52,Greater than 45,0,0,0,0,2,M,Leave Acc/Attend Veh/More $50,0,Male-Hispanic
1,62,Greater than 45,0,0,0,0,8,F,Possession of Cocaine,0,Male-African-American
1,28,25 - 45,0,0,0,0,6,M,Resist/Obstruct W/O Violence,1,Male-African-American
1,54,Greater than 45,0,0,0,0,2,F,Burglary Unoccupied Dwelling,0,Male-Hispanic
1,58,Greater than 45,0,0,0,0,0,F,Possession Of Heroin,0,Male-Hispanic
1,56,Greater than 45,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,24,Less than 25,0,0,0,0,0,F,Burglary Unoccupied Dwelling,0,Male-Other
1,57,Greater than 45,0,0,0,0,1,F,Driving While License Revoked,0,Male-Hispanic
1,66,Greater than 45,0,0,0,0,3,F,Agg Battery Grt/Bod/Harm,0,Male-African-American
1,37,25 - 45,0,0,0,0,2,M,Battery,1,Male-African-American
1,45,Greater than 45,1,0,0,0,2,F,Lewd or Lascivious Molestation,0,Male-Caucasian
1,23,Less than 25,0,0,0,0,0,F,Possession of Cannabis,1,Male-African-American
1,34,25 - 45,0,0,0,0,2,M,Battery,0,Male-African-American
0,23,Less than 25,0,0,0,0,1,M,Battery,0,Female-African-American
1,50,Greater than 45,1,0,0,0,1,F,Sexual Performance by a Child,0,Male-Caucasian
0,37,25 - 45,1,0,0,0,0,M,Leaving Acc/Unattended Veh,0,Female-Caucasian
1,44,25 - 45,1,0,0,0,4,M,Battery,0,Male-Caucasian
1,27,25 - 45,0,0,0,0,0,M,Criminal Mischief,0,Male-African-American
0,28,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,Female-African-American
1,38,25 - 45,0,0,0,0,2,F,Driving While License Revoked,0,Male-African-American
0,28,25 - 45,0,0,0,0,1,F,arrest case no charge,0,Female-African-American
1,38,25 - 45,0,0,0,0,15,F,Possession of Cocaine,0,Male-African-American
1,28,25 - 45,0,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,0,Male-African-American
0,51,Greater than 45,1,0,0,0,0,M,Driving Under The Influence,1,Female-Caucasian
1,51,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,48,Greater than 45,0,0,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),0,Male-African-American
0,30,25 - 45,0,0,0,0,2,F,Grand Theft in the 3rd Degree,0,Female-African-American
0,41,25 - 45,0,0,0,0,5,M,Battery,0,Female-African-American
1,37,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,54,Greater than 45,0,0,0,0,11,F,Grand Theft (Motor Vehicle),0,Male-African-American
1,23,Less than 25,0,0,0,0,2,F,Robbery / Weapon,0,Male-African-American
1,41,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,52,Greater than 45,1,0,0,0,0,F,Burglary With Assault/battery,0,Male-Caucasian
1,52,Greater than 45,0,0,0,0,0,F,Uttering a Forged Instrument,0,Male-African-American
1,28,25 - 45,1,0,0,0,1,F,arrest case no charge,0,Male-Caucasian
1,30,25 - 45,0,0,0,2,11,M,Battery,1,Male-African-American
1,28,25 - 45,1,0,0,0,1,F,Criminal Mischief,0,Male-Caucasian
1,22,Less than 25,0,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,Male-African-American
1,30,25 - 45,0,0,0,0,4,F,Driving While License Revoked,0,Male-African-American
1,25,25 - 45,0,0,0,0,4,F,Possession of Cannabis,0,Male-Hispanic
1,32,25 - 45,0,0,1,0,14,F,Aggravated Battery / Pregnant,0,Male-African-American
1,53,Greater than 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
1,25,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
0,37,25 - 45,0,0,0,0,0,M,Battery,0,Female-Other
0,40,25 - 45,0,0,0,0,3,F,Driving While License Revoked,0,Female-Other
0,31,25 - 45,0,0,0,0,0,M,Battery,0,Female-Hispanic
1,24,Less than 25,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,Male-Hispanic
1,29,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
1,20,Less than 25,0,0,0,0,1,F,Carrying Concealed Firearm,1,Male-African-American
1,39,25 - 45,0,0,0,0,0,F,Throw In Occupied Dwell,0,Male-Other
1,27,25 - 45,0,0,0,0,4,F,arrest case no charge,0,Male-African-American
0,37,25 - 45,0,0,0,0,2,F,arrest case no charge,0,Female-African-American
1,20,Less than 25,0,0,0,0,0,F,Possession Burglary Tools,0,Male-African-American
1,22,Less than 25,0,0,0,1,0,F,"Poss3,4 Methylenedioxymethcath",0,Male-Hispanic
0,52,Greater than 45,0,0,0,0,0,F,Burglary Conveyance Unoccup,0,Female-African-American
0,48,Greater than 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Female-African-American
1,25,25 - 45,1,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,Male-Caucasian
1,27,25 - 45,1,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Male-Caucasian
0,22,Less than 25,1,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0,Female-Caucasian
0,41,25 - 45,0,0,0,0,2,M,Battery on Law Enforc Officer,0,Female-African-American
0,25,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Female-Other
1,43,25 - 45,0,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-African-American
1,37,25 - 45,1,0,0,0,3,F,arrest case no charge,0,Male-Caucasian
1,70,Greater than 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
1,46,Greater than 45,1,0,0,0,3,F,arrest case no charge,0,Male-Caucasian
1,26,25 - 45,0,0,0,0,1,M,Battery,1,Male-African-American
1,34,25 - 45,1,0,0,0,5,M,Battery,0,Male-Caucasian
1,34,25 - 45,0,0,0,0,5,M,Driving License Suspended,0,Male-African-American
1,24,Less than 25,0,0,0,0,0,F,Failure To Return Hired Vehicle,0,Male-Other
1,58,Greater than 45,1,0,0,0,2,F,Agg Fleeing/Eluding High Speed,0,Male-Caucasian
0,21,Less than 25,0,0,0,0,0,M,Battery,0,Female-African-American
1,62,Greater than 45,1,0,0,0,0,F,False Imprisonment,0,Male-Caucasian
1,37,25 - 45,1,0,0,0,5,F,Battery on Law Enforc Officer,0,Male-Caucasian
0,32,25 - 45,0,0,0,0,5,F,Aggrav Battery w/Deadly Weapon,0,Female-African-American
1,23,Less than 25,0,0,0,0,0,F,Burglary Conveyance Unoccup,0,Male-Hispanic
1,27,25 - 45,0,0,0,0,0,M,Battery,0,Male-African-American
0,42,25 - 45,1,0,0,0,0,F,Possession of Cocaine,0,Female-Caucasian
1,24,Less than 25,0,0,1,0,9,F,Resist Officer w/Violence,1,Male-Other
1,27,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,Male-African-American
0,51,Greater than 45,1,0,0,0,0,M,Battery on Law Enforc Officer,0,Female-Caucasian
1,56,Greater than 45,1,0,0,0,0,M,Battery On Parking Enfor Speci,0,Male-Caucasian
1,29,25 - 45,0,0,0,0,7,F,arrest case no charge,0,Male-African-American
1,27,25 - 45,1,0,0,0,8,F,arrest case no charge,0,Male-Caucasian
1,24,Less than 25,0,0,1,0,2,F,Burglary Structure Unoccup,1,Male-African-American
1,28,25 - 45,1,0,0,0,2,M,Battery,1,Male-Caucasian
1,21,Less than 25,0,0,1,0,3,F,Grand Theft in the 3rd Degree,0,Male-Hispanic
0,36,25 - 45,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,Female-African-American
0,23,Less than 25,0,0,0,0,1,M,Operating W/O Valid License,0,Female-Hispanic
1,28,25 - 45,1,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0,Male-Caucasian
1,36,25 - 45,1,0,0,0,0,M,Viol Injunct Domestic Violence,0,Male-Caucasian
1,24,Less than 25,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,29,25 - 45,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Male-African-American
0,30,25 - 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,51,Greater than 45,0,0,0,0,1,M,Assault,0,Male-Hispanic
1,32,25 - 45,0,0,1,0,12,F,arrest case no charge,1,Male-African-American
1,23,Less than 25,0,0,0,1,1,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,47,Greater than 45,0,0,0,0,3,F,Possession Burglary Tools,0,Male-African-American
1,37,25 - 45,1,0,0,0,0,F,Forging Bank Bills/Promis Note,0,Male-Caucasian
1,27,25 - 45,0,0,0,0,0,M,Battery,0,Male-Hispanic
1,39,25 - 45,0,0,0,0,0,M,Battery,0,Male-Other
0,21,Less than 25,1,0,0,2,0,F,Possession of Cocaine,0,Female-Caucasian
1,69,Greater than 45,1,0,0,0,0,M,Aggravated Assault W/dead Weap,0,Male-Caucasian
1,21,Less than 25,1,0,0,0,2,F,arrest case no charge,0,Male-Caucasian
1,22,Less than 25,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,49,Greater than 45,0,0,0,0,3,F,Grand Theft (Motor Vehicle),0,Male-African-American
1,29,25 - 45,0,0,0,1,2,M,Battery,0,Male-African-American
0,60,Greater than 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
0,20,Less than 25,0,1,0,0,1,F,arrest case no charge,0,Female-Other
1,36,25 - 45,0,0,0,0,1,F,Felony/Driving Under Influence,0,Male-Hispanic
1,30,25 - 45,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,21,Less than 25,0,0,1,0,1,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,34,25 - 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
0,53,Greater than 45,1,0,0,0,1,M,Battery,0,Female-Caucasian
0,24,Less than 25,0,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Female-African-American
1,42,25 - 45,0,0,0,0,1,F,arrest case no charge,0,Male-African-American
1,28,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
1,22,Less than 25,0,0,0,0,4,F,Grand Theft in the 3rd Degree,1,Male-African-American
1,21,Less than 25,1,0,0,0,3,M,arrest case no charge,0,Male-Caucasian
1,35,25 - 45,0,0,0,0,2,F,Possession of Cannabis,0,Male-African-American
1,53,Greater than 45,0,0,0,0,2,F,Felony Driving While Lic Suspd,0,Male-African-American
1,29,25 - 45,0,0,0,0,7,F,Possession of Cocaine,0,Male-African-American
1,48,Greater than 45,1,1,0,0,23,F,Felony Petit Theft,1,Male-Caucasian
0,52,Greater than 45,1,0,0,0,0,M,Battery,0,Female-Caucasian
1,28,25 - 45,0,0,0,0,5,F,arrest case no charge,0,Male-African-American
1,33,25 - 45,1,0,0,0,3,M,Battery,0,Male-Caucasian
0,28,25 - 45,0,0,0,0,0,F,arrest case no charge,0,Female-Hispanic
1,29,25 - 45,0,1,0,0,2,F,Aggravated Battery / Pregnant,0,Male-African-American
1,25,25 - 45,1,0,0,0,0,F,Resist Officer w/Violence,0,Male-Caucasian
1,56,Greater than 45,0,0,0,0,5,F,Driving While License Revoked,0,Male-African-American
1,27,25 - 45,0,0,0,0,9,F,Aggravated Battery / Pregnant,1,Male-African-American
1,32,25 - 45,0,0,0,0,3,F,Battery on Law Enforc Officer,0,Male-African-American
1,60,Greater than 45,0,0,0,0,4,F,arrest case no charge,0,Male-Other
1,23,Less than 25,0,0,0,0,1,M,Exposes Culpable Negligence,0,Male-Hispanic
0,39,25 - 45,1,0,0,0,0,M,Disorderly Intoxication,0,Female-Caucasian
1,56,Greater than 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
0,22,Less than 25,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Female-African-American
1,53,Greater than 45,0,0,0,0,11,F,arrest case no charge,0,Male-African-American
1,21,Less than 25,0,0,0,0,0,M,Battery,0,Male-Hispanic
1,22,Less than 25,1,0,0,0,0,F,Leaving the Scene of Accident,0,Male-Caucasian
0,58,Greater than 45,1,0,0,0,2,M,DUI Property Damage/Injury,0,Female-Caucasian
1,42,25 - 45,0,0,0,0,1,F,arrest case no charge,0,Male-Other
1,29,25 - 45,1,0,0,0,0,M,Battery,1,Male-Caucasian
1,22,Less than 25,0,0,0,0,3,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,37,25 - 45,1,0,0,0,0,F,Crimin Mischief Damage $1000+,0,Male-Caucasian
1,27,25 - 45,1,0,0,0,3,M,Fleeing or Eluding a LEO,0,Male-Caucasian
1,26,25 - 45,0,0,0,0,3,F,Burglary Unoccupied Dwelling,0,Male-African-American
1,33,25 - 45,1,0,0,0,0,F,Aggravated Battery / Pregnant,0,Male-Caucasian
1,29,25 - 45,0,0,0,0,2,F,arrest case no charge,0,Male-African-American
1,36,25 - 45,1,0,0,0,2,M,Battery,0,Male-Caucasian
0,24,Less than 25,1,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Female-Caucasian
1,34,25 - 45,1,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Male-Caucasian
1,25,25 - 45,0,0,0,0,2,F,arrest case no charge,1,Male-Hispanic
1,24,Less than 25,0,0,0,0,1,M,Battery,1,Male-African-American
1,61,Greater than 45,1,0,0,0,4,F,arrest case no charge,0,Male-Caucasian
0,50,Greater than 45,0,0,0,0,3,F,Aggravated Assault W/Dead Weap,0,Female-African-American
1,30,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
1,38,25 - 45,0,0,0,0,5,F,Possession of Cannabis,0,Male-African-American
1,24,Less than 25,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,20,Less than 25,0,0,0,1,0,F,Possession of Cocaine,1,Male-Other
1,27,25 - 45,0,0,0,0,13,M,Possess Cannabis/20 Grams Or Less,1,Male-African-American
1,28,25 - 45,1,0,0,0,1,F,Agg Battery Grt/Bod/Harm,1,Male-Caucasian
1,26,25 - 45,0,1,1,0,10,F,Aggravated Battery,1,Male-African-American
1,28,25 - 45,0,0,0,0,5,F,Possession Of Alprazolam,0,Male-African-American
1,63,Greater than 45,1,0,0,0,2,F,Felony DUI (level 3),0,Male-Caucasian
1,42,25 - 45,0,0,0,0,0,F,Aggravated Assault w/Firearm,0,Male-African-American
1,23,Less than 25,0,1,2,2,6,F,Driving While License Revoked,0,Male-African-American
1,54,Greater than 45,0,0,0,0,2,M,Battery,0,Male-African-American
1,35,25 - 45,0,0,0,0,1,M,Battery,0,Male-African-American
1,20,Less than 25,0,0,0,0,1,F,Fraudulent Use of Credit Card,1,Male-African-American
1,51,Greater than 45,1,0,0,0,0,F,Felony Battery (Dom Strang),0,Male-Caucasian
1,24,Less than 25,0,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",0,Male-Hispanic
1,37,25 - 45,1,0,0,0,3,F,Possession of Cocaine,0,Male-Caucasian
1,47,Greater than 45,1,0,0,0,3,F,Drivg While Lic Suspd/Revk/Can,0,Male-Caucasian
1,56,Greater than 45,1,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-Caucasian
1,35,25 - 45,0,0,0,0,0,F,Burglary Structure Unoccup,0,Male-Asian
1,58,Greater than 45,0,0,0,0,1,F,Possession Burglary Tools,0,Male-Hispanic
1,29,25 - 45,0,0,0,0,2,M,Driving Under The Influence,0,Male-Hispanic
0,24,Less than 25,1,0,0,1,6,F,Poss Contr Subst W/o Prescript,1,Female-Caucasian
1,21,Less than 25,1,0,0,4,2,M,Assault,1,Male-Caucasian
1,26,25 - 45,0,0,0,0,1,F,Cash Item w/Intent to Defraud,0,Male-African-American
0,30,25 - 45,1,0,0,0,0,M,Driving Under The Influence,0,Female-Caucasian
1,29,25 - 45,1,0,0,0,0,M,Battery,1,Male-Caucasian
1,54,Greater than 45,0,0,0,0,0,M,Battery,0,Male-African-American
1,29,25 - 45,0,0,0,0,4,F,False Ownership Info/Pawn Item,1,Male-African-American
0,59,Greater than 45,1,0,0,0,0,M,DUI Property Damage/Injury,0,Female-Caucasian
1,38,25 - 45,0,0,0,0,0,F,Tampering With Physical Evidence,0,Male-African-American
1,52,Greater than 45,0,0,0,0,20,F,False Bomb Report,0,Male-Hispanic
1,27,25 - 45,1,0,0,0,2,F,Possession of Cocaine,0,Male-Caucasian
1,51,Greater than 45,1,0,0,0,1,M,DUI Property Damage/Injury,0,Male-Caucasian
1,35,25 - 45,1,0,0,0,1,F,arrest case no charge,0,Male-Caucasian
1,52,Greater than 45,1,0,0,0,4,M,Battery,0,Male-Caucasian
1,48,Greater than 45,0,0,0,0,12,F,Aggravated Assault w/Firearm,0,Male-Other
0,26,25 - 45,0,0,0,0,0,M,Battery,0,Female-African-American
0,48,Greater than 45,1,0,0,0,0,M,Leave Accd/Attend Veh/Less $50,0,Female-Caucasian
1,30,25 - 45,0,0,0,0,7,M,Battery,0,Male-Hispanic
1,28,25 - 45,0,0,0,0,2,M,Battery,0,Male-Other
1,33,25 - 45,0,0,0,0,2,M,Battery,0,Male-African-American
0,34,25 - 45,0,0,0,0,6,F,Burglary Conveyance Unoccup,0,Female-African-American
1,25,25 - 45,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,Male-Other
1,24,Less than 25,1,0,0,0,0,F,Possession of Cocaine,0,Male-Caucasian
1,52,Greater than 45,0,0,0,0,4,M,Fail Register Vehicle,0,Male-African-American
1,24,Less than 25,1,0,0,0,0,F,Agg Battery Grt/Bod/Harm,0,Male-Caucasian
1,23,Less than 25,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,27,25 - 45,1,0,1,3,6,F,Felony Battery (Dom Strang),0,Male-Caucasian
1,31,25 - 45,0,0,0,0,0,F,Trespassing/Construction Site,0,Male-African-American
1,32,25 - 45,1,0,0,0,1,F,arrest case no charge,1,Male-Caucasian
1,37,25 - 45,0,0,0,0,1,F,Crim Use of Personal ID Info,0,Male-Other
1,25,25 - 45,1,0,0,0,0,F,Possession of Cannabis,0,Male-Caucasian
1,32,25 - 45,0,1,1,0,20,F,arrest case no charge,0,Male-Hispanic
1,35,25 - 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Male-African-American
1,24,Less than 25,1,0,0,1,9,M,Viol Injunct Domestic Violence,1,Male-Caucasian
1,47,Greater than 45,1,0,0,0,1,M,Battery,0,Male-Caucasian
1,44,25 - 45,0,0,0,0,1,M,Reckless Driving,0,Male-African-American
1,23,Less than 25,1,0,0,0,2,F,Possession of Cannabis,0,Male-Caucasian
1,42,25 - 45,0,0,0,0,8,F,arrest case no charge,0,Male-African-American
1,58,Greater than 45,0,0,0,0,6,F,Felony Petit Theft,0,Male-African-American
1,26,25 - 45,0,0,0,1,3,F,Grand Theft (Motor Vehicle),0,Male-African-American
0,48,Greater than 45,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Female-Other
1,21,Less than 25,0,0,2,0,3,F,arrest case no charge,1,Male-African-American
1,63,Greater than 45,1,0,0,0,1,M,DUI Property Damage/Injury,0,Male-Caucasian
1,22,Less than 25,0,0,1,0,3,F,arrest case no charge,1,Male-African-American
1,50,Greater than 45,0,0,0,0,3,M,Battery,0,Male-African-American
1,38,25 - 45,0,0,0,0,0,F,Burglary Dwelling Assault/Batt,0,Male-African-American
1,41,25 - 45,1,0,0,0,1,F,Sexual Battery / Vict 12 Yrs +,0,Male-Caucasian
1,28,25 - 45,0,8,0,1,16,F,Aggravated Battery / Pregnant,1,Male-African-American
0,30,25 - 45,0,0,0,0,0,M,Battery,0,Female-African-American
1,23,Less than 25,0,0,0,0,1,F,Agg Fleeing and Eluding,0,Male-African-American
1,40,25 - 45,1,0,0,0,5,F,Neglect Child / No Bodily Harm,0,Male-Caucasian
1,24,Less than 25,0,0,0,0,8,F,Possession of Cannabis,0,Male-Hispanic
1,44,25 - 45,1,0,0,0,11,M,Battery,0,Male-Caucasian
0,35,25 - 45,0,0,0,0,6,F,arrest case no charge,1,Female-African-American
1,42,25 - 45,1,0,0,0,0,M,Battery,0,Male-Caucasian
1,38,25 - 45,0,0,0,0,15,F,Drivg While Lic Suspd/Revk/Can,0,Male-African-American
1,26,25 - 45,0,0,0,0,4,F,Possession of Cannabis,0,Male-Hispanic
0,25,25 - 45,0,0,0,0,0,M,Resist/Obstruct W/O Violence,0,Female-African-American
