id,sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid,race,days_b_screening_arrest
128,Male,25,25 - 45,0,2,0,6,M,Driving While License Revoked,1,African-American,-1
130,Male,20,Less than 25,0,0,0,0,F,Battery,1,African-American,-1
136,Female,33,Greater than 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
142,Male,25,25 - 45,0,0,0,5,F,Possession of Cocaine,1,African-American,-1
143,Male,67,Greater than 45,0,0,0,6,M,Burglary Structure Unoccup,0,African-American,
145,Female,20,Less than 25,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,African-American,-1
147,Male,56,Greater than 45,0,0,0,0,F,DUI Property Damage/Injury,0,African-American,-64
148,Male,48,Greater than 45,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,African-American,0
150,Female,42,25 - 45,0,0,0,0,M,Battery,0,African-American,-2
151,Male,20,Less than 25,0,0,0,0,M,Battery,1,African-American,-10
152,Male,25,Less than 25,0,0,0,0,M,arrest case no charge,0,African-American,-137
153,Male,29,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
154,Female,34,25 - 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,African-American,-1
157,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
158,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
159,Male,34,25 - 45,0,0,0,0,F,Possession of Cocaine,0,Caucasian,-1
160,Male,55,Greater than 45,0,0,0,6,F,Battery,1,African-American,178
163,Male,38,25 - 45,0,0,0,0,F,Driving License Suspended,0,African-American,-30
171,Male,29,25 - 45,0,0,0,0,F,Aggravated Assault w/Firearm,0,African-American,0
174,Male,33,25 - 45,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,African-American,0
180,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
182,Female,29,25 - 45,0,0,0,0,F,Battery,0,African-American,-1
183,Male,29,25 - 45,0,0,0,8,F,arrest case no charge,1,African-American,-1
187,Male,51,Greater than 45,0,0,0,3,F,arrest case no charge,0,African-American,67
189,Male,47,Greater than 45,0,0,0,0,M,Battery,0,Caucasian,-2
192,Female,56,Greater than 45,0,0,0,0,M,DUI Property Damage/Injury,0,African-American,-47
194,Male,38,25 - 45,0,0,0,3,F,Possession Of Alprazolam,0,African-American,-4
195,Male,25,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
197,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,-20
199,Male,25,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,
200,Female,38,25 - 45,0,0,0,3,M,Agg Battery Grt/Bod/Harm,0,Other,-1
203,Female,25,Less than 25,0,0,0,0,M,Battery,0,African-American,-1
209,Female,29,25 - 45,0,0,0,3,F,Possession of Cocaine,1,African-American,-35
215,Male,29,25 - 45,0,0,0,0,M,Driving While License Revoked,0,African-American,-1
218,Female,39,Greater than 45,0,0,0,3,F,arrest case no charge,0,African-American,
220,Female,20,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,0
222,Female,38,25 - 45,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,African-American,0
224,Male,29,25 - 45,0,0,0,6,F,Battery,1,African-American,-2
225,Male,29,25 - 45,0,0,0,3,M,Deliver Cannabis,1,African-American,-1
231,Female,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,0
232,Female,25,25 - 45,0,0,0,0,M,Driving License Suspended,0,African-American,-2
236,Male,60,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-26
238,Female,29,25 - 45,0,0,0,0,F,arrest case no charge,1,African-American,-7
239,Male,29,25 - 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
240,Female,47,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,
242,Male,51,Greater than 45,0,0,0,0,M,Battery,0,African-American,-51
243,Male,34,25 - 45,0,0,0,0,M,Aggravated Battery / Pregnant,0,Caucasian,-1
245,Male,29,25 - 45,0,0,0,0,F,Possession of Cocaine,0,African-American,0
246,Male,43,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
248,Male,20,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
251,Male,43,Greater than 45,0,0,0,3,F,Pos Cannabis W/Intent Sel/Del,0,African-American,-56
252,Male,29,25 - 45,0,0,0,0,F,Burglary Unoccupied Dwelling,0,African-American,0
257,Male,20,Less than 25,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,Hispanic,-1
258,Female,29,25 - 45,0,0,0,0,M,Aggravated Assault W/dead Weap,0,African-American,-1
259,Male,51,Greater than 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
260,Male,56,Greater than 45,0,0,0,3,F,Driving While License Revoked,0,African-American,0
262,Female,33,25 - 45,0,0,0,3,F,Possession of Cocaine,0,African-American,-110
263,Male,48,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Caucasian,-45
265,Male,29,25 - 45,0,0,0,3,M,arrest case no charge,1,African-American,-1
266,Male,51,Greater than 45,0,0,0,0,F,Burglary Unoccupied Dwelling,0,African-American,-1
267,Male,55,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
269,Male,48,Greater than 45,0,0,0,0,F,Resist Officer w/Violence,0,Caucasian,-1
271,Male,25,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
279,Male,55,Greater than 45,0,0,0,0,F,Driving While License Revoked,0,African-American,0
281,Male,61,Greater than 45,0,0,0,0,F,Agg Battery Grt/Bod/Harm,1,African-American,-10
287,Male,33,Greater than 45,0,0,0,0,M,Battery,1,African-American,0
291,Male,39,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
293,Male,25,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American,-1
294,Male,33,Greater than 45,0,0,0,0,M,Battery,0,African-American,0
297,Female,25,Less than 25,0,0,0,0,M,Battery,0,African-American,-1
299,Male,43,Greater than 45,0,0,0,0,F,Grand Theft (Motor Vehicle),0,African-American,-4
300,Female,33,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
301,Male,39,25 - 45,0,0,0,3,M,Battery,0,African-American,0
308,Male,25,25 - 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
310,Female,29,25 - 45,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,African-American,0
311,Male,38,25 - 45,0,0,0,7,F,arrest case no charge,1,African-American,49
315,Male,33,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
316,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,-36
317,Female,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
320,Male,33,25 - 45,0,0,0,6,M,Battery,0,African-American,-1
321,Male,29,25 - 45,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,African-American,-1
322,Male,42,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,104
323,Male,29,25 - 45,0,0,0,0,M,arrest case no charge,0,Hispanic,
325,Male,52,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-34
326,Male,43,Greater than 45,0,0,0,0,M,arrest case no charge,1,African-American,-1
327,Male,43,Greater than 45,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,-1
330,Male,43,Greater than 45,0,0,0,0,F,Battery,0,African-American,-1
332,Female,29,25 - 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
333,Male,38,25 - 45,0,0,0,0,M,Battery,0,African-American,0
335,Male,33,25 - 45,0,0,0,0,M,Battery,1,African-American,-1
337,Male,51,Greater than 45,0,0,0,6,F,arrest case no charge,0,African-American,-1
338,Male,25,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-1
344,Male,38,25 - 45,0,0,0,0,M,Battery,0,African-American,0
345,Male,47,Greater than 45,0,0,0,0,F,Burglary Dwelling Occupied,0,African-American,-1
348,Male,47,Greater than 45,0,0,0,0,F,Battery,0,African-American,-1
349,Male,25,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-3
350,Male,29,25 - 45,0,0,0,6,M,Battery,1,African-American,-1
351,Male,25,25 - 45,0,0,0,0,F,Viol Prot Injunc Repeat Viol,0,African-American,0
354,Male,20,Less than 25,0,0,0,0,F,Assault,0,African-American,-1
355,Male,29,25 - 45,0,0,0,0,F,Driving While License Revoked,0,African-American,0
356,Male,25,25 - 45,0,0,0,3,F,Grand Theft in the 3rd Degree,0,African-American,0
359,Male,29,25 - 45,0,0,0,6,F,DUI Level 0.15 Or Minor In Veh,0,African-American,-1
360,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,649
361,Male,48,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
364,Male,25,25 - 45,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,0
369,Female,38,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
372,Female,38,25 - 45,0,0,0,3,F,Driving While License Revoked,0,Other,-1
374,Male,33,25 - 45,0,0,0,5,F,Felony Driving While Lic Suspd,1,African-American,150
375,Male,29,25 - 45,0,0,0,3,F,False Imprisonment,0,Caucasian,-140
376,Male,20,Less than 25,0,0,0,0,M,Battery,1,African-American,161
377,Male,20,Less than 25,0,0,0,0,M,Battery,1,Caucasian,-32
379,Female,29,25 - 45,0,0,0,0,M,Battery,0,Hispanic,-1
383,Male,25,Less than 25,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,African-American,-3
384,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
385,Male,20,Less than 25,0,0,0,0,F,Battery,1,African-American,-1
389,Male,38,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
390,Male,25,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
392,Male,29,25 - 45,0,0,0,0,M,arrest case no charge,0,African-American,812
393,Female,33,25 - 45,0,0,0,0,F,Battery,0,African-American,0
396,Male,20,Less than 25,0,0,0,0,F,Felony Battery (Dom Strang),0,African-American,-1
398,Male,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,0
399,Female,47,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
402,Female,43,Greater than 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American,-1
404,Male,25,25 - 45,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,African-American,0
405,Male,25,25 - 45,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Caucasian,-1
408,Female,20,Less than 25,0,0,0,0,F,Battery,0,African-American,-1
409,Male,33,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,
410,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,Caucasian,-232
411,Female,38,25 - 45,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,-1
414,Female,25,25 - 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,Other,-1
415,Male,42,25 - 45,0,0,0,12,M,arrest case no charge,0,African-American,53
417,Male,38,25 - 45,0,0,0,0,F,Felony Battery (Dom Strang),0,African-American,-1
423,Male,33,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-4
424,Male,29,25 - 45,0,0,0,0,M,Grand Theft (Motor Vehicle),1,African-American,299
425,Male,61,Greater than 45,0,0,0,0,M,Battery,0,African-American,-13
428,Male,39,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
430,Male,25,25 - 45,0,0,0,0,M,Battery,1,African-American,-1
432,Male,29,25 - 45,0,0,0,3,M,Battery,0,African-American,-1
435,Male,33,25 - 45,0,0,0,0,M,Driving License Suspended,0,African-American,-1
439,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-83
441,Male,25,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-1
442,Male,29,25 - 45,0,0,0,0,M,Battery,1,African-American,-93
445,Male,52,Greater than 45,0,0,0,0,F,Grand Theft (Motor Vehicle),0,Caucasian,-1
446,Female,20,Less than 25,0,0,0,0,M,Battery,0,African-American,0
450,Male,20,Less than 25,0,0,0,0,F,Assault,0,African-American,-36
452,Male,52,Greater than 45,0,0,0,0,F,False Imprisonment,0,Caucasian,0
456,Male,33,25 - 45,0,0,0,3,F,Tamper With Witness/Victim/CI,0,African-American,-1
459,Female,29,25 - 45,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,African-American,0
461,Male,20,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-1
462,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,0
465,Male,38,25 - 45,0,0,0,0,F,Aggravated Assault W/dead Weap,0,African-American,-3
467,Male,25,Less than 25,0,0,0,11,F,arrest case no charge,1,African-American,-1
468,Male,25,25 - 45,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,African-American,0
474,Female,43,Greater than 45,0,0,0,0,M,arrest case no charge,0,Caucasian,0
475,Male,48,Greater than 45,0,0,0,0,M,Battery,0,African-American,0
478,Male,29,25 - 45,0,0,0,3,F,arrest case no charge,0,African-American,-1
481,Male,48,Greater than 45,0,0,0,3,F,arrest case no charge,0,African-American,-176
484,Male,25,25 - 45,0,0,0,5,F,arrest case no charge,0,African-American,-1
485,Male,25,Less than 25,0,0,0,0,F,Burglary Structure Unoccup,1,African-American,-1
489,Male,25,25 - 45,0,0,0,0,M,Battery,1,Caucasian,0
493,Male,42,Greater than 45,0,0,0,0,M,Battery,0,African-American,
494,Male,20,Less than 25,0,0,0,3,F,Grand Theft in the 3rd Degree,0,African-American,-22
495,Female,33,25 - 45,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,African-American,-1
497,Female,20,Less than 25,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,0
499,Male,25,25 - 45,0,0,0,0,F,Driving License Suspended,0,African-American,-4
501,Male,33,25 - 45,0,0,0,0,M,Viol Injunct Domestic Violence,0,African-American,-1
502,Male,25,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
505,Male,29,25 - 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American,-1
509,Female,29,25 - 45,0,0,0,0,M,Battery,0,African-American,0
510,Male,51,Greater than 45,0,0,0,0,M,Assault,0,African-American,-1
511,Male,33,25 - 45,0,0,0,3,F,arrest case no charge,0,Other,-94
512,Female,25,25 - 45,0,0,0,0,F,Aggravated Battery / Pregnant,0,African-American,-86
516,Male,29,25 - 45,0,0,0,6,F,arrest case no charge,1,African-American,-1
517,Male,25,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,0
518,Male,42,Greater than 45,0,0,0,0,M,Battery,0,African-American,0
522,Male,33,25 - 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,Caucasian,-1
524,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
525,Male,38,25 - 45,0,0,0,0,M,Battery,0,Other,-1
526,Female,20,Less than 25,0,0,0,0,F,Possession of Cocaine,0,African-American,0
527,Male,61,Greater than 45,0,0,0,0,M,Aggravated Assault W/dead Weap,0,African-American,-1
530,Male,20,Less than 25,0,0,0,0,F,arrest case no charge,0,Caucasian,-1
532,Male,20,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-2
537,Male,47,Greater than 45,0,0,0,0,F,Carrying Concealed Firearm,0,African-American,0
538,Male,29,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
540,Female,52,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
541,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,
543,Male,33,25 - 45,0,0,0,0,M,arrest case no charge,1,African-American,47
545,Female,20,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-21
546,Male,33,25 - 45,0,0,0,0,F,Possession of Cannabis,0,African-American,0
547,Male,29,25 - 45,0,0,0,0,F,Possession of Cocaine,0,African-American,0
548,Male,20,Less than 25,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,-1
553,Male,52,Greater than 45,0,0,0,8,F,arrest case no charge,0,African-American,
561,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,0
567,Female,48,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
569,Male,25,Greater than 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American,-1
572,Male,38,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-12
573,Male,29,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
574,Male,20,Less than 25,0,0,0,0,M,Battery,0,African-American,-36
579,Male,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American,-1
580,Male,20,Less than 25,0,0,0,0,M,arrest case no charge,0,African-American,-8
584,Male,33,25 - 45,0,0,0,0,F,Battery,0,African-American,-1
586,Male,48,Greater than 45,0,0,0,0,M,Possession of Cannabis,0,African-American,-1
587,Male,55,Greater than 45,0,0,0,0,F,arrest case no charge,0,African-American,
588,Male,29,Greater than 45,0,0,0,3,F,Battery,0,African-American,-1
590,Male,43,Greater than 45,0,0,0,14,F,Felony Petit Theft,1,African-American,-1
594,Female,47,Greater than 45,0,0,0,0,M,Battery,0,African-American,0
598,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,0
599,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,0
600,Female,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
603,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
605,Male,25,25 - 45,0,0,0,3,M,Burglary Dwelling Occupied,0,African-American,-34
608,Male,25,25 - 45,0,0,0,0,F,Battery,0,African-American,0
609,Male,56,Greater than 45,0,0,0,0,F,Aggravated Assault W/dead Weap,0,African-American,-150
611,Male,51,Greater than 45,0,0,0,0,M,Driving While License Revoked,0,African-American,-1
612,Male,25,25 - 45,0,0,0,4,F,Aggravated Battery / Pregnant,1,African-American,-1
616,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,0
617,Male,60,Greater than 45,0,0,0,3,F,arrest case no charge,0,African-American,-1
621,Male,20,Less than 25,0,0,0,0,M,Grand Theft in the 3rd Degree,0,African-American,-5
622,Female,34,25 - 45,0,0,0,0,M,Battery,0,African-American,-2
623,Male,48,Greater than 45,0,0,0,0,M,Battery,0,Caucasian,-1
624,Female,20,25 - 45,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,African-American,0
627,Male,48,Greater than 45,0,0,0,6,F,arrest case no charge,0,African-American,-1
629,Male,20,Less than 25,0,0,0,0,M,Battery,0,Hispanic,0
630,Male,20,Less than 25,0,0,0,0,F,arrest case no charge,0,African-American,-1
633,Female,52,Greater than 45,0,0,0,0,M,Battery,0,African-American,-23
639,Male,42,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
641,Male,25,25 - 45,0,0,0,0,M,Battery,1,African-American,0
643,Male,29,25 - 45,0,0,0,3,F,arrest case no charge,0,African-American,178
645,Male,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-1
647,Male,33,25 - 45,0,0,0,0,F,Battery,0,African-American,0
649,Male,25,25 - 45,0,0,0,0,M,Battery,0,African-American,-22
651,Male,25,25 - 45,0,0,0,0,F,Battery,0,African-American,0
654,Male,29,25 - 45,0,0,0,0,F,Aggravated Battery / Pregnant,0,Caucasian,-1
656,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-1
660,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
662,Male,20,Less than 25,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,African-American,0
664,Male,29,25 - 45,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,African-American,0
668,Male,25,25 - 45,0,0,0,0,F,arrest case no charge,1,African-American,-1
673,Male,29,25 - 45,0,0,0,0,M,arrest case no charge,1,African-American,-263
674,Male,25,Less than 25,0,0,0,0,M,Battery,1,African-American,-1
675,Male,52,Greater than 45,0,0,0,3,F,arrest case no charge,0,African-American,-1
678,Male,47,Greater than 45,0,0,0,0,F,Aggravated Assault W/Dead Weap,0,African-American,0
679,Male,29,25 - 45,0,0,0,0,M,Battery,0,African-American,0
680,Male,33,25 - 45,0,0,0,0,F,Possession of Cannabis,0,African-American,-1
681,Male,20,Less than 25,0,0,0,0,M,Battery,0,African-American,-1
684,Male,42,Greater than 45,0,0,0,6,F,arrest case no charge,0,African-American,-83
687,Male,20,Less than 25,0,0,0,0,F,Possession of Cocaine,1,African-American,-1
688,Male,25,25 - 45,0,0,0,6,M,Possess Cannabis/20 Grams Or Less,1,African-American,-1
689,Female,47,Greater than 45,0,0,0,6,F,Battery,0,African-American,-122
694,Male,25,25 - 45,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1,African-American,0
700,Male,25,25 - 45,0,0,0,4,F,arrest case no charge,1,African-American,-1
701,Male,29,25 - 45,0,0,0,0,F,Possession Of Alprazolam,0,African-American,-1
703,Male,56,Greater than 45,0,0,0,0,F,arrest case no charge,0,Caucasian,-3
704,Male,38,25 - 45,0,0,0,0,F,Aggravated Assault w/Firearm,0,African-American,0
707,Male,25,Greater than 45,0,0,0,3,F,Driving While License Revoked,1,African-American,-1
712,Male,51,Greater than 45,0,0,0,0,M,Battery,0,African-American,-26
716,Male,33,25 - 45,0,0,0,0,M,Battery,0,African-American,-1
718,Male,20,Less than 25,0,0,0,0,F,Grand Theft in the 3rd Degree,1,African-American,0
720,Male,43,Greater than 45,0,0,0,0,F,Felony Battery (Dom Strang),0,African-American,0
721,Male,25,Less than 25,0,0,0,0,F,Battery,0,African-American,0
722,Male,33,25 - 45,0,0,0,0,F,Possession of Cocaine,0,African-American,-14
724,Male,42,Greater than 45,0,0,0,0,F,Possession of Cocaine,0,African-American,-1
727,Male,48,Greater than 45,0,0,0,0,F,Grand Theft in the 3rd Degree,0,African-American,-2
730,Female,46,25 - 45,0,0,0,0,F,Battery,0,African-American,-1
731,Male,55,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,-11
732,Male,29,25 - 45,0,0,0,0,M,Aggravated Assault W/Dead Weap,0,African-American,-26
737,Female,20,Less than 25,0,0,0,3,F,Battery,1,African-American,0
738,Male,20,Less than 25,0,0,0,0,M,Assault,1,African-American,-1
739,Male,25,25 - 45,0,0,0,0,M,arrest case no charge,0,African-American,
743,Male,25,25 - 45,0,0,0,0,F,Agg Battery Grt/Bod/Harm,0,African-American,-1
745,Female,29,25 - 45,0,0,0,0,M,Driving Under The Influence,0,African-American,-1
752,Male,25,25 - 45,0,0,0,0,M,Battery,1,African-American,0
753,Male,51,Greater than 45,0,0,0,0,M,Battery,0,African-American,-1
754,Male,29,25 - 45,0,0,0,0,F,Driving License Suspended,1,African-American,-1
756,Female,52,Greater than 45,0,0,0,0,M,DUI Property Damage/Injury,0,African-American,-2
757,Male,33,25 - 45,0,0,0,0,F,Tampering With Physical Evidence,0,African-American,0
760,Male,29,25 - 45,0,0,0,0,F,arrest case no charge,1,African-American,-53
764,Male,51,Greater than 45,0,0,0,14,F,Viol Injunct Domestic Violence,0,African-American,-1
769,Male,25,25 - 45,0,0,0,0,F,Possession of Cocaine,0,African-American,0
770,Male,43,Greater than 45,0,0,0,0,M,arrest case no charge,0,African-American,-1
771,Male,30,25 - 45,0,0,0,0,F,arrest case no charge,0,African-American,0
