sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,race,is_violent_recid
1,34,1,0,0,0,2,0,0,0
0,23,0,0,0,0,1,0,0,0
1,50,2,0,0,0,1,1,1,0
0,37,1,0,0,0,0,0,1,0
1,44,1,0,0,0,4,0,1,0
1,27,1,0,0,0,0,0,0,0
0,28,1,0,0,0,0,1,0,0
1,38,1,0,0,0,2,1,0,0
1,27,1,0,0,0,2,0,1,0
0,28,1,0,0,0,1,1,0,0
1,38,1,0,0,0,15,1,0,0
1,28,1,0,0,0,2,0,0,0
1,61,2,0,0,0,1,1,1,0
0,51,2,0,0,0,0,0,1,1
1,51,2,0,0,0,0,0,1,0
1,48,2,0,0,0,0,1,0,0
0,30,1,0,0,0,2,1,0,0
0,41,1,0,0,0,5,0,0,0
1,37,1,0,0,0,0,0,0,1
1,54,2,0,0,0,11,1,0,0
1,23,0,0,0,0,2,1,0,0
1,41,1,0,0,0,0,0,0,0
1,52,2,0,0,0,0,1,1,0
1,52,2,0,0,0,0,1,0,0
1,28,1,0,0,0,1,1,1,0
1,30,1,0,0,2,11,0,0,1
1,28,1,0,0,0,1,1,1,0
1,22,0,0,0,0,0,1,0,0
1,30,1,0,0,0,4,1,0,0
1,32,1,0,1,0,14,1,0,0
1,53,2,0,0,0,1,0,1,0
1,25,1,0,0,0,0,1,0,0
1,30,1,0,0,0,4,1,1,0
0,24,0,0,0,0,1,0,1,1
1,29,1,0,0,0,1,0,0,0
1,20,0,0,0,0,1,1,0,1
1,27,1,0,0,0,4,1,0,0
0,37,1,0,0,0,2,1,0,0
1,20,0,0,0,0,0,1,0,0
0,52,2,0,0,0,0,1,0,0
0,48,2,0,0,0,0,1,0,0
1,25,1,0,0,0,0,1,1,0
1,27,1,0,0,0,0,1,1,1
0,22,0,0,0,0,1,1,1,0
1,32,1,0,0,0,2,1,1,0
0,41,1,0,0,0,2,0,0,0
1,43,1,0,0,0,0,1,0,0
1,37,1,0,0,0,3,1,1,0
1,70,2,0,0,0,1,0,1,0
1,46,2,0,0,0,3,1,1,0
1,26,1,0,0,0,1,0,0,1
1,34,1,0,0,0,5,0,1,0
1,34,1,0,0,0,5,0,0,0
1,30,1,0,0,0,2,1,0,0
1,33,1,0,0,0,1,0,1,1
1,58,2,0,0,0,2,1,1,0
0,21,0,0,0,0,0,0,0,0
1,21,0,0,0,0,1,1,0,0
1,62,2,0,0,0,0,1,1,0
1,37,1,0,0,0,5,1,1,0
0,32,1,0,0,0,5,1,0,0
1,27,1,0,0,0,0,0,0,0
0,42,1,0,0,0,0,1,1,0
1,27,1,0,0,0,0,1,0,0
0,51,2,0,0,0,0,0,1,0
1,56,2,0,0,0,0,0,1,0
1,29,1,0,0,0,7,1,0,0
1,53,2,0,0,0,6,1,1,0
1,27,1,0,0,0,8,1,1,0
1,24,0,0,1,0,2,1,0,1
1,28,1,0,0,0,2,0,1,1
0,36,1,0,0,0,0,1,0,0
1,28,1,0,0,0,1,1,1,0
1,36,1,0,0,0,0,0,1,0
1,24,0,0,0,0,0,1,0,0
1,29,1,0,0,0,0,1,0,0
0,30,1,0,0,0,0,0,1,0
0,25,1,0,0,0,2,1,0,0
1,32,1,0,1,0,12,1,0,1
1,23,0,0,0,1,1,1,0,0
1,47,2,0,0,0,3,1,0,0
1,37,1,0,0,0,0,1,1,0
0,21,0,0,0,2,0,1,1,0
1,69,2,0,0,0,0,0,1,0
1,21,0,0,0,0,2,1,1,0
1,22,0,0,0,0,0,1,1,0
1,49,2,0,0,0,3,1,0,0
1,29,1,0,0,1,2,0,0,0
0,60,2,0,0,0,0,0,1,0
1,30,1,0,0,0,0,1,1,0
1,21,0,0,1,0,1,1,0,0
1,34,1,0,0,0,1,0,1,0
0,53,2,0,0,0,1,0,1,0
0,24,0,0,0,0,0,1,0,0
1,42,1,0,0,0,1,1,0,0
1,28,1,0,0,0,1,0,0,0
1,24,0,0,0,0,1,0,1,0
1,22,0,0,0,0,4,1,0,1
1,21,0,0,0,0,3,0,1,0
1,35,1,0,0,0,2,1,0,0
1,53,2,0,0,0,2,1,0,0
1,29,1,0,0,0,7,1,0,0
1,48,2,1,0,0,23,1,1,1
0,52,2,0,0,0,0,0,1,0
1,28,1,0,0,0,5,1,0,0
1,33,1,0,0,0,3,0,1,0
1,29,1,1,0,0,2,1,0,0
1,26,1,0,0,2,6,1,0,0
1,25,1,0,0,0,0,1,1,0
1,68,2,0,0,0,2,1,1,0
1,56,2,0,0,0,5,1,0,0
1,27,1,0,0,0,9,1,0,1
1,32,1,0,0,0,3,1,0,0
0,39,1,0,0,0,0,0,1,0
1,56,2,0,0,0,0,0,1,0
0,22,0,0,0,0,0,1,0,0
1,53,2,0,0,0,11,1,0,0
1,22,0,0,0,0,0,1,1,0
0,58,2,0,0,0,2,0,1,0
1,29,1,0,0,0,0,0,1,1
1,22,0,0,0,0,3,1,0,0
1,37,1,0,0,0,0,1,1,0
1,27,1,0,0,0,3,0,1,0
1,26,1,0,0,0,3,1,0,0
1,33,1,0,0,0,0,1,1,0
1,29,1,0,0,0,2,1,0,0
1,36,1,0,0,0,2,0,1,0
0,24,0,0,0,0,0,1,1,0
1,34,1,0,0,0,0,0,1,0
1,24,0,0,0,0,1,0,0,1
1,61,2,0,0,0,4,1,1,0
0,50,2,0,0,0,3,1,0,0
1,30,1,0,0,0,1,0,0,0
1,38,1,0,0,0,5,1,0,0
1,24,0,0,0,0,0,0,1,0
1,45,2,0,0,0,16,1,0,0
1,27,1,0,0,0,13,0,0,1
0,51,2,0,0,0,16,1,0,0
1,28,1,0,0,0,1,1,1,1
1,26,1,1,1,0,10,1,0,1
1,28,1,0,0,0,5,1,0,0
1,63,2,0,0,0,2,1,1,0
1,42,1,0,0,0,0,1,0,0
1,23,0,1,2,2,6,1,0,1
1,54,2,0,0,0,2,0,0,0
1,35,1,0,0,0,1,0,0,0
1,20,0,0,0,0,1,1,0,1
1,51,2,0,0,0,0,1,1,0
1,37,1,0,0,0,3,1,1,0
1,47,2,0,0,0,3,1,1,0
1,56,2,0,0,0,0,1,1,0
0,24,0,0,0,1,6,1,1,1
1,21,0,0,0,4,2,0,1,1
1,26,1,0,0,0,1,1,0,0
0,30,1,0,0,0,0,0,1,0
1,29,1,0,0,0,0,0,1,1
1,54,2,0,0,0,0,0,0,0
1,29,1,0,0,0,4,1,0,1
0,59,2,0,0,0,0,0,1,0
1,38,1,0,0,0,0,1,0,0
1,29,1,0,0,0,4,1,0,1
1,27,1,0,0,0,2,1,1,0
1,51,2,0,0,0,1,0,1,0
1,35,1,0,0,0,1,1,1,0
1,52,2,0,0,0,4,0,1,0
0,35,1,0,0,0,12,0,0,0
0,26,1,0,0,0,0,0,0,0
0,48,2,0,0,0,0,0,1,0
1,33,1,0,0,0,2,0,0,0
0,34,1,0,0,0,6,1,0,0
1,24,0,0,0,0,0,1,1,0
1,52,2,0,0,0,4,0,0,0
1,24,0,0,0,0,0,1,1,0
1,23,0,0,0,0,0,0,1,0
1,27,1,0,1,3,6,1,1,0
1,31,1,0,0,0,0,1,0,0
1,32,1,0,0,0,1,1,1,1
1,25,1,0,0,0,0,1,1,0
1,35,1,0,0,0,0,1,0,0
1,24,0,0,0,1,9,0,1,1
1,47,2,0,0,0,1,0,1,0
1,44,1,0,0,0,1,0,0,0
1,23,0,0,0,0,2,1,1,0
1,42,1,0,0,0,8,1,0,0
1,58,2,0,0,0,6,1,0,0
1,26,1,0,0,1,3,1,0,0
1,21,0,0,2,0,3,1,0,1
1,63,2,0,0,0,1,0,1,0
1,22,0,0,1,0,3,1,0,1
1,50,2,0,0,0,3,0,0,0
1,38,1,0,0,0,0,1,0,0
1,41,1,0,0,0,1,1,1,0
1,28,1,8,0,1,16,1,0,1
0,30,1,0,0,0,0,0,0,0
1,23,0,0,0,0,1,1,0,0
1,40,1,0,0,0,5,1,1,0
1,44,1,0,0,0,11,0,1,0
0,35,1,0,0,0,6,1,0,1
1,42,1,0,0,0,0,0,1,0
1,38,1,0,0,0,15,1,0,0
0,25,1,0,0,0,0,0,0,0
0,46,2,0,0,0,0,0,1,0
1,30,1,0,0,1,5,1,0,1
0,22,0,0,0,0,0,0,1,0
1,23,0,0,0,0,1,0,1,0
1,25,1,0,0,0,0,0,0,1
0,21,0,0,0,0,0,1,1,0
1,27,1,0,0,0,0,0,0,0
0,24,0,0,0,1,0,1,1,0
1,20,0,1,0,0,1,1,0,0
1,27,1,0,0,0,3,0,0,1
1,40,1,0,0,0,0,1,0,0
1,22,0,0,0,0,11,1,0,1
0,38,1,0,0,0,1,1,0,0
1,30,1,0,0,0,1,0,0,0
1,27,1,0,0,0,6,1,1,1
0,59,2,0,0,0,0,0,1,0
1,37,1,0,0,0,2,0,1,0
1,38,1,0,0,0,0,1,1,0
1,25,1,0,0,0,4,1,0,1
1,51,2,0,0,0,0,0,1,0
1,28,1,0,0,0,10,1,0,0
0,23,0,0,0,0,3,1,1,0
0,22,0,0,0,0,0,0,0,0
1,31,1,0,0,0,1,0,0,0
1,29,1,0,0,0,0,0,0,0
1,24,0,0,0,0,4,1,0,1
1,27,1,0,0,0,5,0,1,0
1,25,1,0,0,0,1,1,1,0
1,38,1,0,0,0,0,1,0,0
0,58,2,0,0,0,4,1,0,1
1,21,0,0,0,1,0,1,0,0
0,22,0,0,0,0,0,1,0,0
1,30,1,0,0,0,0,1,0,0
1,22,0,0,0,0,2,1,1,1
0,31,1,0,0,0,10,1,0,0
0,45,2,0,0,0,1,1,1,0
1,27,1,0,0,0,13,1,0,1
1,38,1,0,0,0,1,1,1,1
1,47,2,0,0,0,20,1,0,0
1,22,0,0,1,0,3,1,0,0
1,35,1,0,0,1,1,0,0,1
1,65,2,0,0,0,2,0,0,1
1,35,1,0,0,0,0,0,0,0
0,33,1,0,0,0,0,1,0,0
1,53,2,0,0,0,1,0,1,0
1,21,0,0,0,0,0,1,0,0
1,37,1,0,0,0,11,1,0,0
1,33,1,0,0,0,5,1,1,0
0,31,1,0,0,0,0,0,0,0
0,59,2,0,0,0,2,1,1,0
1,27,1,0,0,0,0,0,0,0
1,36,1,0,0,0,0,0,0,1
1,22,0,0,0,1,3,1,0,0
0,28,1,0,0,0,0,0,1,0
1,23,0,0,0,1,2,0,0,1
1,27,1,0,0,0,3,1,0,0
0,32,1,0,0,0,2,1,0,0
1,31,1,0,0,0,5,1,0,0
1,36,1,0,1,0,4,0,0,0
1,53,2,0,0,0,2,1,1,0
1,21,0,1,0,0,2,1,0,0
1,28,1,0,0,0,2,0,0,0
1,24,0,0,0,0,1,0,0,0
1,44,1,0,0,0,1,1,0,0
1,46,2,0,0,0,0,1,0,0
1,37,1,0,0,0,6,1,0,0
1,27,1,0,1,0,10,1,0,1
1,40,1,0,0,0,1,1,1,0
1,53,2,0,0,0,1,1,1,0
1,26,1,0,1,0,8,1,0,0
1,28,1,0,0,0,0,1,0,0
0,46,2,0,0,0,2,1,1,0
1,45,2,0,0,0,0,0,0,0
1,22,0,0,0,0,1,1,0,0
1,26,1,0,0,0,1,1,1,1
1,62,2,0,0,0,0,1,1,0
1,21,0,0,0,0,0,0,1,0
1,25,1,0,0,0,0,1,1,1
1,68,2,0,0,0,0,0,1,0
1,41,1,0,0,0,2,0,1,0
1,21,0,0,0,0,1,1,1,0
1,22,0,0,0,0,0,1,0,0
1,42,1,0,0,0,1,1,1,0
1,48,2,0,0,0,2,1,0,0
0,45,2,0,0,0,1,1,1,0
1,23,0,0,0,1,6,1,0,1
1,24,0,0,0,0,0,1,0,0
1,29,1,0,0,0,0,1,0,0
1,24,0,0,0,0,0,1,0,0
1,50,2,0,0,0,11,1,0,0
1,23,0,0,0,0,0,1,0,0
0,22,0,0,0,0,0,0,1,0
0,53,2,0,0,0,0,1,1,0
1,24,0,0,0,0,1,1,1,0
0,25,1,0,0,0,1,0,0,0
1,71,2,0,0,0,8,1,0,0
1,39,1,0,4,0,10,0,0,0
0,37,1,0,0,0,0,1,0,0
0,29,1,0,0,0,3,1,0,0
0,23,0,0,0,0,0,1,0,0
0,53,2,0,0,0,0,1,0,0
0,23,0,0,0,0,0,1,0,0
1,25,1,0,0,0,6,1,0,0
1,27,1,0,0,0,4,1,0,1
1,26,1,0,0,0,2,0,0,0
1,29,1,0,0,0,1,0,0,0
1,31,1,0,0,0,0,0,0,0
1,25,1,0,0,0,0,0,1,0
1,47,2,0,0,0,0,0,1,0
1,37,1,0,0,0,4,1,0,0
0,35,1,0,0,0,4,1,0,0
1,21,0,0,2,1,2,1,1,1
1,57,2,0,0,0,11,1,0,0
1,48,2,0,0,0,0,1,1,0
0,37,1,0,0,0,3,1,0,0
1,31,1,0,0,0,0,0,1,0
1,31,1,0,0,0,2,0,1,0
1,32,1,0,0,1,22,1,0,1
1,63,2,0,0,0,0,0,0,0
1,26,1,0,0,0,2,1,1,1
1,20,0,0,0,2,0,1,1,0
0,24,0,0,0,0,1,0,0,1
0,36,1,0,0,0,1,0,0,0
1,28,1,0,0,0,2,1,1,0
0,33,1,0,0,0,0,0,0,0
1,39,1,0,0,0,0,1,0,0
1,35,1,0,0,0,7,1,0,0
1,24,0,0,0,1,0,1,0,0
1,26,1,0,0,0,8,1,1,0
1,28,1,0,0,0,14,1,0,1
1,32,1,0,0,0,0,0,0,0
0,32,1,0,0,0,1,0,1,1
1,29,1,0,1,0,16,1,0,0
1,43,1,0,0,0,0,0,1,0
1,47,2,0,0,0,2,1,1,0
0,23,0,0,0,0,1,1,0,0
1,39,1,0,0,0,2,0,1,0
1,43,1,1,0,0,20,1,0,0
1,25,1,0,1,1,3,1,0,1
1,48,2,1,0,0,25,1,0,1
1,22,0,0,0,1,1,0,0,1
1,52,2,1,0,0,9,0,0,1
1,26,1,0,0,0,5,1,1,1
1,34,1,0,0,0,4,0,0,0
1,56,2,0,0,0,4,0,1,0
1,29,1,0,0,0,2,0,0,0
1,37,1,0,0,0,6,1,0,1
1,51,2,0,0,0,0,1,1,0
1,21,0,0,0,1,1,1,0,0
1,26,1,0,1,0,4,0,0,1
1,48,2,0,0,0,1,1,1,0
1,26,1,0,0,0,0,1,1,0
1,46,2,0,0,0,0,1,1,0
1,24,0,0,1,1,7,0,0,0
0,21,0,0,0,0,0,0,1,0
1,36,1,0,0,0,9,0,0,0
1,30,1,0,0,0,5,1,0,1
0,22,0,0,0,0,1,1,1,0
1,25,1,0,0,0,0,1,0,1
1,24,0,0,0,0,0,1,0,0
1,39,1,0,0,0,13,1,0,1
0,30,1,0,0,0,4,1,0,0
1,40,1,0,0,0,0,1,1,0
0,52,2,0,0,0,0,1,0,0
1,23,0,1,0,1,3,1,0,0
0,26,1,0,0,0,1,0,0,0
1,42,1,0,0,0,3,1,1,0
1,28,1,0,0,0,1,1,0,0
1,50,2,0,0,0,1,1,1,0
1,32,1,0,0,0,1,1,0,0
1,51,2,0,0,0,3,1,0,0
1,32,1,0,0,0,4,1,0,0
0,29,1,0,0,0,1,1,0,0
1,26,1,0,0,0,9,1,0,1
1,32,1,0,0,0,3,1,0,1
0,42,1,0,0,0,0,0,1,0
1,26,1,0,0,0,4,0,1,1
0,28,1,0,0,1,3,0,1,0
0,53,2,0,0,0,0,0,1,0
1,24,0,0,0,0,0,1,1,0
1,25,1,0,0,0,0,0,0,0
1,52,2,0,0,0,1,1,1,0
1,28,1,0,0,0,4,0,0,1
1,21,0,0,0,0,2,1,0,1
1,32,1,0,0,0,19,1,0,1
1,63,2,0,0,0,3,0,0,0
1,29,1,0,0,0,2,1,1,0
1,46,2,0,0,0,0,0,0,0
1,23,0,0,0,0,5,1,0,1
1,27,1,0,0,0,1,1,0,0
0,33,1,0,0,0,1,0,1,0
1,32,1,0,0,0,14,1,0,1
1,24,0,0,0,0,2,1,0,0
1,25,1,0,0,0,1,1,1,0
1,21,0,0,0,0,1,1,0,0
1,22,0,1,1,0,6,1,0,1
0,26,1,0,0,0,0,1,1,0
1,20,0,0,0,0,0,1,1,0
1,33,1,0,0,0,7,1,0,1
1,35,1,0,0,0,2,1,1,0
1,41,1,0,0,0,5,1,1,0
1,23,0,0,0,0,0,0,1,0
1,54,2,0,0,0,0,1,0,0
1,22,0,0,0,0,0,0,1,0
1,54,2,0,0,0,4,0,0,1
1,22,0,0,0,0,2,0,1,1
1,38,1,0,0,0,2,1,1,0
1,26,1,0,0,0,0,0,0,1
0,20,0,0,0,0,0,1,0,0
1,29,1,0,0,0,0,1,0,0
0,23,0,0,0,0,6,0,0,0
1,35,1,0,0,0,1,0,0,0
1,21,0,0,0,0,1,0,0,1
0,30,1,0,0,0,3,1,0,0
1,23,0,0,0,0,2,1,0,1
1,32,1,1,0,0,8,1,1,0
1,52,2,0,0,0,1,1,1,0
1,42,1,0,0,0,0,0,1,0
0,22,0,0,0,0,0,0,0,0
1,29,1,0,0,0,0,0,0,0
1,30,1,0,0,0,6,1,0,1
1,51,2,0,0,0,17,0,0,0
1,24,0,0,0,0,2,1,1,0
1,23,0,0,0,0,2,0,0,0
1,36,1,0,0,0,5,1,0,0
1,39,1,0,0,0,1,1,0,0
1,29,1,0,0,0,2,1,0,0
1,44,1,0,0,0,6,1,1,0
1,25,1,0,0,0,2,1,0,0
1,31,1,0,0,0,0,1,0,0
1,35,1,0,1,0,17,0,0,1
1,33,1,0,0,0,1,1,0,0
1,20,0,1,0,1,1,1,0,1
1,60,2,0,0,0,1,1,1,0
0,54,2,0,0,0,0,1,0,0
0,26,1,0,0,1,3,0,0,0
1,24,0,1,2,0,3,0,1,0
0,75,2,0,0,0,5,1,0,0
1,56,2,0,0,0,8,1,0,0
1,46,2,0,0,0,0,1,1,0
1,27,1,0,0,0,1,1,0,0
1,59,2,0,0,0,2,0,0,0
1,39,1,0,0,0,1,1,1,0
1,46,2,0,0,0,5,0,1,0
1,55,2,0,0,0,2,1,1,0
1,43,1,0,0,0,0,0,0,1
0,53,2,0,0,0,0,0,1,0
0,21,0,0,0,0,0,0,0,0
1,40,1,0,0,0,0,1,0,0
0,37,1,0,0,0,0,0,1,0
1,32,1,0,0,0,2,0,0,0
0,31,1,0,0,0,0,1,0,0
1,47,2,0,0,0,4,1,0,0
1,36,1,0,0,0,2,1,0,0
0,38,1,0,0,0,0,1,1,0
1,53,2,0,0,0,0,1,1,0
1,53,2,0,0,0,2,1,0,0
1,57,2,0,0,0,19,1,0,0
1,21,0,0,0,0,0,1,0,1
1,27,1,0,0,0,2,1,0,0
0,49,2,0,0,0,4,1,1,0
1,47,2,0,0,0,1,1,1,1
1,44,1,0,0,0,3,1,1,0
1,34,1,0,0,0,1,1,0,0
1,50,2,0,0,0,2,0,1,0
1,29,1,0,0,0,1,0,1,0
1,26,1,0,0,0,0,1,1,0
1,49,2,0,0,0,0,1,1,0
1,49,2,0,0,0,1,1,0,1
1,59,2,0,0,0,2,1,1,0
1,32,1,0,0,0,6,0,1,0
1,24,0,0,0,2,1,0,0,1
1,32,1,0,0,0,0,1,0,0
1,27,1,0,0,1,9,1,0,1
1,25,1,0,0,0,2,0,1,0
1,37,1,2,0,0,18,0,0,0
1,23,0,0,0,0,1,1,0,1
0,20,0,0,0,0,0,1,0,0
1,29,1,0,0,0,7,0,1,1
1,24,0,0,0,0,1,1,0,0
0,54,2,0,0,0,1,0,1,0
1,66,2,0,0,0,3,1,0,0
1,50,2,0,0,0,8,1,1,0
1,50,2,0,0,0,7,1,0,0
1,40,1,0,0,0,3,1,1,0
0,24,0,0,0,0,2,1,1,0
0,23,0,0,0,0,3,1,0,1
1,25,1,0,0,2,4,0,1,0
1,46,2,0,0,0,1,0,1,0
0,22,0,0,0,0,0,0,1,0
0,32,1,0,0,0,1,1,1,0
1,33,1,0,0,0,4,0,0,1
1,24,0,0,0,0,0,1,0,0
1,37,1,0,0,0,0,0,1,0
0,40,1,0,0,0,0,0,1,0
1,43,1,0,0,0,9,1,0,1
1,26,1,0,0,0,11,1,1,0
1,25,1,0,1,0,11,1,0,1
1,53,2,0,0,0,1,1,1,1
0,52,2,0,0,0,1,1,0,0
1,47,2,0,0,0,5,1,0,0
0,52,2,0,0,0,6,0,1,0
1,37,1,0,0,0,0,0,1,0
0,24,0,0,0,0,0,1,0,0
0,34,1,0,0,0,14,1,0,0
1,31,1,0,0,0,3,0,1,0
0,62,2,0,0,0,0,0,1,0
0,60,2,0,0,0,0,1,1,0
1,35,1,0,0,0,0,0,1,0
0,24,0,0,0,0,0,1,0,0
0,56,2,0,0,0,1,1,1,1
1,30,1,0,0,0,0,0,1,0
0,28,1,0,0,0,0,0,1,0
1,56,2,0,0,0,0,1,0,0
1,23,0,0,1,0,1,0,1,0
0,35,1,0,0,0,2,1,0,0
1,33,1,0,0,0,3,0,1,0
1,41,1,2,1,0,9,0,0,0
1,24,0,0,0,0,0,1,0,0
1,49,2,0,0,0,3,1,0,0
0,27,1,0,0,0,3,1,0,1
1,50,2,0,0,0,4,0,0,0
0,23,0,0,0,0,0,0,0,0
1,34,1,0,0,0,0,0,1,0
1,52,2,0,0,0,3,1,0,0
0,26,1,0,0,0,3,0,1,0
0,30,1,0,0,0,0,1,1,0
1,20,0,0,0,0,0,0,0,1
1,31,1,0,0,0,0,1,1,0
0,54,2,0,0,0,12,1,1,0
0,37,1,0,0,0,1,0,1,0
0,33,1,0,0,0,1,1,0,0
1,20,0,0,0,0,1,1,0,0
1,42,1,0,0,0,0,0,0,0
1,32,1,0,0,0,4,1,0,1
1,28,1,0,0,0,7,1,0,1
1,38,1,0,0,0,0,1,1,0
1,38,1,0,0,0,3,1,0,0
1,21,0,0,0,0,1,1,1,0
0,34,1,0,0,0,0,0,0,1
1,38,1,0,0,0,1,0,0,0
1,36,1,0,0,0,0,1,1,0
1,23,0,0,0,0,0,0,0,0
1,47,2,0,0,0,0,0,1,0
1,20,0,0,0,0,0,1,0,0
1,35,1,0,0,0,0,0,0,0
0,30,1,0,0,0,1,1,1,0
0,28,1,0,0,0,1,0,1,0
1,22,0,0,0,0,0,1,0,0
1,24,0,1,1,0,8,1,0,1
1,60,2,0,0,0,12,1,0,0
1,33,1,0,0,0,6,0,0,0
1,24,0,0,0,0,4,0,1,0
1,29,1,1,1,1,4,1,0,1
1,32,1,0,0,0,1,1,0,0
1,30,1,0,0,0,3,0,1,0
1,57,2,0,0,0,0,0,1,0
1,21,0,0,0,0,0,1,0,0
1,22,0,0,0,0,0,1,0,0
0,54,2,0,0,0,1,1,1,0
1,58,2,0,0,0,2,1,1,0
1,20,0,0,0,0,0,1,0,1
0,45,2,0,0,0,5,0,1,0
0,53,2,0,0,0,1,0,1,0
1,44,1,0,0,0,0,0,1,0
0,44,1,0,0,0,1,0,1,0
1,28,1,0,0,0,0,0,0,0
1,28,1,0,0,0,2,0,1,0
1,28,1,0,0,0,0,1,0,0
1,53,2,0,0,0,4,1,1,0
1,20,0,0,0,0,1,1,0,0
1,21,0,0,0,0,0,0,0,0
1,30,1,0,0,0,0,0,1,0
0,26,1,0,0,0,5,1,0,1
0,39,1,0,0,0,1,1,0,0
1,44,1,0,0,0,2,1,0,0
1,45,2,0,0,0,0,0,1,0
1,30,1,0,0,0,1,1,0,0
1,37,1,0,0,0,1,1,0,0
1,42,1,0,0,0,0,1,0,0
1,65,2,0,0,0,2,0,1,0
1,54,2,0,0,0,4,0,1,0
1,29,1,0,0,0,7,0,1,1
1,51,2,0,0,0,7,1,1,1
1,44,1,0,0,0,0,0,0,0
1,49,2,0,0,0,12,0,1,0
1,27,1,0,0,0,0,0,0,0
1,30,1,0,0,0,0,0,1,0
0,51,2,0,0,0,5,1,1,0
1,43,1,0,0,0,2,1,0,0
1,37,1,0,0,0,2,1,1,0
1,26,1,0,0,0,0,0,0,0
0,58,2,0,0,0,4,1,0,0
0,22,0,0,0,1,1,0,1,0
1,43,1,0,0,0,2,1,1,0
1,23,0,0,0,0,0,0,0,0
1,25,1,0,0,0,0,1,1,0
1,22,0,0,0,0,6,1,0,0
1,30,1,0,0,0,6,1,0,0
1,25,1,0,3,1,15,1,0,1
1,59,2,0,0,0,1,1,0,0
1,34,1,0,0,0,2,0,1,0
1,36,1,0,0,0,6,1,1,0
1,23,0,0,0,0,0,1,0,0
1,32,1,0,0,0,2,0,0,0
0,66,2,0,0,0,1,0,1,0
0,24,0,0,0,0,0,0,1,0
1,28,1,0,0,0,1,0,0,0
1,43,1,0,0,0,4,1,1,1
1,35,1,0,0,0,3,0,0,0
1,22,0,0,0,0,1,0,0,1
