status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
A14,14,A32,A43,951,A63,A73,4,A93,A101,3,A122,41,A142,A152,1,A173,1,A192,A201,1
A14,15,A32,A49,1554,A62,A73,3,A93,A101,4,A122,23,A143,A151,1,A172,1,A191,A201,1
A11,24,A32,A410,1755,A61,A75,4,A93,A103,4,A121,50,A143,A152,1,A172,1,A192,A201,1
A11,10,A32,A43,1750,A61,A72,3,A93,A101,4,A121,45,A143,A152,1,A172,1,A191,A201,1
A14,12,A34,A49,1409,A61,A73,4,A93,A103,2,A121,28,A143,A152,1,A174,1,A192,A201,1
A12,15,A34,A42,1291,A61,A72,4,A93,A101,1,A122,26,A143,A152,1,A173,1,A191,A201,1
A12,33,A32,A46,10144,A62,A73,1,A93,A101,4,A121,41,A143,A151,1,A173,2,A192,A201,2
A11,15,A32,A40,1597,A62,A74,4,A93,A101,3,A123,28,A143,A152,1,A174,2,A192,A201,1
A11,12,A30,A45,846,A61,A74,4,A93,A101,3,A121,26,A143,A152,1,A173,1,A191,A201,2
A14,12,A34,A43,385,A61,A72,4,A93,A101,4,A121,47,A143,A152,1,A173,1,A191,A201,1
A11,12,A32,A41,1213,A61,A75,4,A93,A101,3,A121,46,A143,A152,1,A173,1,A191,A201,1
A14,12,A34,A43,797,A61,A75,4,A93,A101,3,A122,32,A141,A152,1,A172,2,A191,A201,2
A13,21,A34,A42,2991,A61,A73,4,A93,A102,4,A124,20,A143,A151,1,A173,1,A191,A201,1
A12,12,A32,A40,1126,A64,A73,4,A93,A101,4,A121,46,A143,A152,1,A173,1,A192,A201,1
A12,48,A30,A49,12680,A61,A72,3,A93,A101,4,A123,48,A143,A151,1,A173,1,A192,A201,2
A14,12,A34,A41,2039,A65,A74,4,A93,A101,2,A123,52,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A49,2028,A62,A73,4,A93,A101,4,A123,32,A143,A152,1,A173,1,A191,A201,1
A12,33,A34,A43,1829,A61,A73,4,A93,A101,4,A121,33,A143,A152,1,A173,1,A191,A201,1
A12,18,A33,A41,5511,A65,A74,3,A93,A101,4,A122,33,A141,A151,1,A174,2,A192,A201,1
A14,24,A32,A40,1845,A62,A75,4,A93,A101,4,A121,46,A143,A151,1,A174,1,A191,A201,1
A12,33,A32,A43,1750,A61,A74,4,A93,A101,4,A123,23,A143,A151,1,A173,1,A191,A201,1
A14,4,A33,A43,932,A61,A73,3,A93,A101,2,A121,23,A143,A152,1,A173,1,A191,A201,1
A12,8,A34,A42,1418,A61,A74,4,A93,A101,3,A123,33,A143,A151,1,A173,1,A192,A201,1
A14,12,A32,A41,3595,A65,A72,2,A93,A101,4,A123,30,A143,A151,1,A173,1,A192,A201,1
A12,21,A34,A410,10144,A61,A73,2,A93,A102,3,A123,35,A143,A152,1,A174,2,A192,A201,2
A14,15,A31,A40,4594,A61,A73,2,A93,A101,4,A123,35,A141,A152,1,A173,2,A191,A201,2
A12,12,A32,A40,4351,A61,A74,2,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A42,7678,A65,A75,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1
A12,14,A32,A49,1797,A63,A75,1,A93,A101,2,A121,41,A143,A152,1,A173,1,A192,A201,1
A12,4,A33,A49,1217,A62,A75,1,A93,A101,2,A123,30,A141,A152,3,A173,2,A191,A201,1
A14,15,A32,A43,362,A61,A72,4,A93,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1
A12,15,A32,A40,4591,A61,A74,3,A93,A101,3,A121,26,A143,A151,1,A172,1,A191,A201,1
A14,36,A34,A40,8086,A61,A73,4,A92,A101,2,A121,25,A142,A152,1,A173,1,A192,A201,2
A11,12,A32,A43,2348,A63,A75,3,A93,A101,1,A121,41,A143,A152,1,A173,1,A191,A201,1
A14,45,A34,A43,2991,A61,A72,4,A93,A101,1,A121,41,A143,A152,1,A173,1,A192,A201,1
A11,36,A32,A40,7127,A65,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2
A11,10,A34,A42,2133,A65,A72,2,A92,A102,3,A121,26,A143,A152,1,A173,1,A191,A202,1
A11,33,A34,A42,4221,A63,A73,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,2
A12,12,A34,A40,1884,A63,A74,3,A93,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1
A11,21,A32,A43,1837,A61,A73,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A192,A201,2
A14,24,A34,A43,3872,A61,A75,4,A93,A101,2,A123,37,A143,A151,1,A174,1,A192,A201,1
A14,12,A32,A42,1391,A61,A73,3,A93,A101,2,A121,23,A143,A151,1,A172,1,A191,A201,1
A13,10,A34,A40,682,A61,A75,4,A93,A101,4,A122,52,A143,A152,1,A173,1,A192,A201,1
A12,15,A33,A42,1884,A65,A72,4,A93,A101,3,A121,26,A143,A151,1,A173,1,A191,A201,2
A11,12,A34,A40,1544,A61,A73,4,A93,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1
A11,12,A32,A43,918,A61,A73,4,A93,A101,2,A121,45,A143,A152,1,A172,1,A191,A201,1
A12,12,A32,A45,385,A61,A73,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,2
A12,12,A34,A41,1414,A61,A71,4,A93,A101,2,A123,32,A143,A152,1,A174,1,A192,A201,1
A11,12,A34,A40,3566,A61,A73,3,A93,A101,2,A121,28,A143,A152,1,A173,1,A192,A201,2
A12,48,A32,A40,9629,A65,A74,1,A93,A101,2,A123,23,A143,A152,1,A173,1,A191,A201,1
A11,33,A33,A42,5511,A61,A73,4,A93,A101,3,A122,28,A143,A152,1,A173,1,A192,A201,2
A14,14,A32,A42,2118,A61,A72,2,A93,A101,3,A122,25,A141,A152,1,A172,1,A191,A201,1
A14,15,A32,A42,1498,A61,A73,4,A93,A101,4,A124,41,A141,A153,1,A173,1,A191,A201,1
A14,48,A32,A43,9960,A62,A74,2,A93,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1
A14,12,A34,A43,1231,A65,A75,4,A93,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1
A14,24,A33,A43,7721,A64,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A12,12,A32,A43,682,A63,A73,4,A93,A101,3,A121,61,A143,A152,1,A172,1,A191,A201,2
A12,14,A34,A43,2118,A61,A74,4,A93,A103,2,A121,33,A141,A152,3,A173,1,A191,A201,1
A13,12,A32,A43,1882,A61,A73,2,A92,A101,2,A121,39,A143,A151,1,A172,1,A192,A201,1
A13,4,A32,A40,926,A64,A72,2,A93,A101,2,A124,32,A143,A152,1,A173,1,A191,A201,1
A12,36,A32,A43,4811,A61,A72,4,A93,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1
A11,24,A32,A43,2671,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A174,1,A191,A201,1
A11,15,A32,A42,1893,A61,A73,2,A93,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,2
A14,21,A34,A42,2326,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1
A12,45,A31,A49,2825,A62,A72,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,1
A11,4,A34,A40,886,A61,A75,1,A92,A101,4,A124,36,A143,A152,1,A173,1,A192,A201,1
A14,12,A34,A40,666,A62,A74,4,A93,A101,3,A124,45,A143,A152,1,A173,1,A192,A201,1
A11,33,A32,A42,3959,A61,A73,3,A93,A103,2,A122,26,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A43,1316,A64,A75,4,A93,A101,4,A123,41,A143,A152,1,A173,1,A191,A201,1
A14,7,A32,A43,1175,A62,A75,2,A93,A101,4,A124,37,A143,A153,1,A173,2,A192,A201,1
A14,10,A32,A43,1445,A61,A73,1,A93,A101,4,A122,34,A143,A152,1,A173,1,A192,A201,1
A13,33,A32,A43,4308,A61,A73,4,A93,A101,1,A123,23,A143,A152,1,A173,1,A191,A201,1
A12,24,A34,A41,7678,A64,A75,2,A93,A101,4,A124,28,A143,A151,1,A173,1,A191,A201,1
A12,21,A33,A49,5511,A62,A75,4,A93,A101,4,A123,33,A143,A151,1,A174,1,A192,A201,1
A11,12,A32,A42,1274,A61,A73,2,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,2
A11,8,A34,A45,1047,A62,A75,3,A93,A101,4,A121,43,A143,A152,1,A173,2,A191,A202,1
A11,12,A31,A42,362,A61,A75,4,A93,A101,1,A123,49,A141,A152,1,A172,1,A191,A201,1
A12,21,A32,A40,2825,A62,A74,2,A93,A101,3,A123,34,A143,A152,1,A173,1,A192,A201,1
A14,7,A34,A43,1418,A65,A73,1,A93,A101,2,A121,32,A143,A152,1,A172,2,A191,A201,1
A14,21,A34,A43,2210,A62,A72,3,A93,A101,4,A121,33,A143,A152,1,A173,2,A192,A201,1
A14,15,A34,A40,1092,A61,A72,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,1
A14,14,A32,A44,1042,A63,A74,4,A93,A101,3,A122,33,A143,A152,1,A173,1,A192,A201,1
A12,10,A32,A40,6110,A61,A71,2,A93,A101,4,A123,62,A143,A152,1,A174,1,A192,A201,1
A14,33,A32,A40,759,A63,A72,4,A93,A101,4,A122,33,A143,A152,1,A173,1,A191,A201,1
A14,7,A32,A42,2299,A63,A73,1,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1
A11,15,A32,A49,1154,A61,A71,4,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,2
A12,12,A32,A42,1602,A64,A73,4,A93,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A43,3878,A61,A74,2,A93,A101,4,A122,25,A143,A153,1,A173,1,A192,A201,1
A12,27,A34,A43,1337,A61,A75,4,A93,A101,4,A122,30,A143,A152,3,A173,1,A192,A201,2
A11,14,A30,A40,760,A61,A75,4,A93,A101,3,A123,32,A143,A151,1,A173,2,A191,A201,2
A14,12,A32,A42,750,A61,A73,4,A93,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,1
A12,24,A33,A42,2039,A61,A71,3,A93,A101,2,A122,33,A143,A152,1,A174,1,A192,A201,2
A12,8,A32,A43,1216,A61,A73,4,A93,A103,2,A121,32,A143,A152,1,A173,1,A191,A201,1
A11,18,A33,A49,2671,A61,A72,2,A93,A101,1,A122,25,A143,A152,1,A173,1,A191,A201,2
A14,27,A32,A41,7678,A65,A71,4,A92,A101,1,A121,46,A141,A152,1,A174,1,A192,A201,2
A11,12,A32,A43,1928,A61,A73,2,A93,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1
A11,7,A34,A43,362,A63,A72,4,A93,A101,4,A123,45,A143,A152,1,A173,1,A191,A201,1
A14,12,A32,A43,1449,A61,A74,4,A93,A101,2,A123,30,A143,A151,1,A173,2,A192,A201,1
A11,18,A34,A40,368,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1
A14,36,A33,A49,8318,A61,A72,1,A93,A101,1,A123,26,A143,A152,3,A173,1,A191,A201,2
A12,36,A33,A49,3914,A61,A73,2,A93,A101,2,A121,30,A142,A152,3,A173,1,A192,A201,2
A11,18,A31,A43,1318,A62,A73,4,A93,A101,2,A122,35,A143,A152,1,A172,2,A191,A201,2
A14,21,A34,A42,3074,A64,A73,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,1
A12,15,A34,A40,754,A61,A75,4,A93,A101,4,A123,33,A141,A152,1,A173,2,A192,A201,2
A14,14,A34,A43,1185,A61,A73,4,A93,A101,2,A124,30,A143,A152,1,A173,1,A191,A201,1
A12,8,A31,A41,5302,A61,A75,2,A93,A101,4,A124,63,A141,A153,1,A174,2,A192,A201,2
A12,15,A32,A40,909,A61,A71,2,A93,A101,3,A123,62,A143,A152,3,A171,1,A192,A201,1
A11,12,A34,A40,866,A62,A74,4,A93,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2
A12,15,A30,A42,3195,A61,A73,1,A93,A101,4,A123,32,A141,A152,1,A173,1,A192,A201,1
A14,21,A32,A49,3612,A64,A73,2,A93,A101,3,A122,46,A143,A152,3,A173,1,A192,A201,2
A12,45,A30,A49,3074,A62,A73,4,A93,A101,4,A124,32,A143,A151,1,A172,2,A191,A201,2
A12,24,A32,A43,3077,A61,A73,4,A93,A101,2,A123,33,A143,A152,1,A173,2,A192,A201,2
A14,4,A32,A43,3398,A61,A74,2,A93,A101,2,A121,34,A143,A152,1,A173,1,A191,A201,1
A12,45,A32,A43,2301,A62,A73,4,A93,A103,4,A122,20,A143,A151,1,A173,1,A191,A201,2
A12,8,A34,A46,1516,A61,A75,2,A93,A101,3,A123,33,A143,A152,1,A174,1,A192,A201,2
A14,4,A34,A43,1382,A62,A73,1,A93,A101,1,A123,28,A143,A152,1,A173,1,A192,A201,1
A12,12,A32,A49,936,A62,A72,4,A93,A101,4,A123,26,A141,A152,3,A173,1,A191,A201,2
A12,21,A32,A41,2121,A61,A72,4,A93,A101,4,A124,33,A141,A153,1,A173,1,A191,A201,1
A12,18,A33,A42,3804,A61,A75,4,A93,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2
A14,8,A34,A41,760,A63,A73,4,A93,A101,2,A123,45,A143,A152,1,A173,1,A192,A201,1
A11,12,A32,A40,1364,A61,A73,4,A93,A101,3,A124,32,A143,A152,1,A172,1,A191,A201,1
A14,24,A32,A49,3844,A61,A74,3,A93,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
A11,12,A31,A42,1169,A61,A74,4,A93,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,2
A12,12,A34,A40,1249,A61,A75,4,A93,A101,1,A121,34,A143,A152,1,A172,2,A191,A201,1
A11,27,A32,A49,8335,A61,A75,3,A93,A101,4,A124,34,A143,A152,3,A174,2,A192,A201,1
A14,12,A34,A42,1445,A61,A71,4,A93,A101,4,A121,38,A143,A152,3,A173,1,A192,A201,1
A12,12,A32,A44,1216,A61,A75,4,A93,A101,3,A122,25,A143,A152,1,A173,1,A191,A201,1
A11,24,A34,A49,9277,A61,A73,2,A93,A101,2,A123,21,A143,A152,1,A174,1,A192,A201,1
A14,12,A32,A41,1216,A64,A74,3,A93,A101,2,A122,46,A143,A152,1,A173,1,A191,A202,1
A14,8,A32,A43,2384,A65,A73,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,1
A14,36,A32,A43,3868,A65,A75,2,A93,A101,4,A121,40,A143,A152,1,A172,1,A192,A201,1
A11,24,A30,A49,3850,A61,A71,2,A93,A101,4,A122,44,A143,A152,1,A173,1,A192,A201,2
A13,27,A33,A49,1418,A61,A72,4,A93,A101,4,A121,61,A143,A152,1,A174,1,A192,A201,2
A14,33,A34,A43,2522,A65,A75,4,A93,A101,2,A123,44,A143,A152,1,A173,1,A192,A201,1
A12,4,A34,A43,932,A65,A74,1,A93,A101,3,A122,36,A143,A152,1,A172,1,A191,A201,1
A11,15,A30,A49,2389,A61,A74,3,A93,A101,1,A122,30,A141,A152,1,A173,1,A191,A201,1
A13,33,A32,A43,3077,A61,A73,2,A93,A101,2,A121,21,A143,A152,1,A173,1,A192,A201,1
A11,27,A32,A42,2301,A61,A73,2,A93,A101,2,A121,20,A141,A151,1,A172,1,A191,A201,1
A14,10,A32,A40,1366,A61,A73,2,A93,A101,4,A123,60,A143,A152,1,A173,1,A192,A201,1
A12,12,A32,A43,781,A61,A72,4,A93,A103,1,A121,30,A141,A152,1,A172,1,A191,A201,1
A11,12,A32,A40,1199,A65,A73,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1
A14,12,A32,A43,484,A61,A73,4,A93,A101,2,A121,28,A141,A152,1,A173,1,A191,A201,1
A14,21,A33,A49,2299,A65,A73,4,A93,A101,4,A121,30,A143,A152,1,A173,2,A192,A201,1
A14,14,A32,A41,3612,A61,A73,3,A93,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,1
A11,33,A34,A45,1934,A61,A73,4,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A12,45,A32,A43,8358,A64,A74,1,A93,A102,2,A124,25,A141,A152,1,A173,1,A192,A201,2
A11,12,A32,A42,7228,A61,A75,4,A93,A101,4,A124,45,A143,A153,1,A174,1,A192,A201,2
A12,8,A32,A43,1249,A61,A74,4,A93,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,2
A11,21,A32,A42,2515,A61,A72,4,A93,A101,1,A124,21,A141,A152,1,A173,1,A191,A201,1
A13,33,A32,A43,3430,A61,A73,4,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,2
A14,8,A32,A40,1893,A63,A75,2,A93,A101,4,A124,44,A143,A153,1,A172,1,A191,A201,1
A14,12,A32,A43,1546,A62,A74,3,A93,A101,1,A124,33,A143,A152,1,A173,1,A191,A201,1
A12,18,A32,A43,1055,A61,A73,4,A93,A101,2,A123,28,A143,A152,1,A172,1,A191,A201,1
A14,4,A34,A43,1295,A61,A74,2,A93,A101,1,A121,37,A143,A152,3,A172,2,A191,A201,1
A11,21,A32,A43,1393,A61,A71,4,A93,A101,2,A123,28,A143,A152,1,A174,2,A191,A201,2
A12,7,A32,A40,12612,A65,A71,1,A93,A101,2,A122,21,A143,A152,1,A171,1,A192,A201,2
A14,24,A32,A49,2039,A65,A75,4,A93,A101,2,A123,61,A141,A151,3,A172,1,A191,A201,2
A14,12,A34,A43,1291,A61,A73,4,A93,A101,2,A122,33,A143,A152,1,A173,1,A192,A201,1
A11,27,A32,A43,1928,A61,A72,1,A93,A103,3,A122,35,A143,A152,1,A173,2,A191,A201,1
A11,24,A32,A40,888,A61,A75,4,A93,A101,2,A122,28,A141,A152,1,A173,1,A191,A201,2
A14,7,A32,A43,1318,A61,A74,3,A93,A101,2,A122,44,A143,A152,1,A173,2,A191,A201,1
A11,45,A30,A41,3612,A61,A75,3,A93,A101,4,A121,23,A143,A151,1,A173,2,A191,A201,2
A14,12,A34,A49,1155,A61,A73,3,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,1
A14,12,A32,A48,3384,A63,A73,4,A93,A101,3,A121,33,A143,A152,1,A172,2,A191,A201,1
A14,21,A32,A49,1042,A61,A74,4,A93,A101,1,A121,23,A143,A152,1,A173,1,A192,A201,1
A14,12,A34,A43,484,A61,A75,4,A93,A101,4,A121,45,A143,A152,3,A173,1,A191,A201,1
