sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex-race
Male,29,25 - 45,Hispanic,0,0,0,1,F,Grand Theft in the 3rd Degree,4,Low,0,Male-Hispanic
Male,30,25 - 45,African-American,0,0,0,1,F,Burglary Conveyance Assault/Bat,7,Medium,0,Male-African-American
Male,48,Greater than 45,Caucasian,0,0,0,2,M,Battery,2,Low,0,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,1,F,arrest case no charge,2,Low,0,Male-African-American
Male,31,25 - 45,Caucasian,0,0,0,0,F,"Deliver 3,4 Methylenediox",5,Medium,0,Male-Caucasian
Male,23,Less than 25,Hispanic,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",3,Low,0,Male-Hispanic
Female,32,25 - 45,African-American,0,0,0,5,F,Aggravated Assault W/dead Weap,7,Medium,0,Female-African-American
Male,52,Greater than 45,Hispanic,0,0,0,2,M,Leave Acc/Attend Veh/More $50,1,Low,0,Male-Hispanic
Male,62,Greater than 45,African-American,0,0,0,8,F,Possession of Cocaine,4,Low,0,Male-African-American
Male,28,25 - 45,African-American,0,0,0,6,M,Resist/Obstruct W/O Violence,6,Medium,1,Male-African-American
Male,54,Greater than 45,Hispanic,0,0,0,2,F,Burglary Unoccupied Dwelling,1,Low,0,Male-Hispanic
Male,58,Greater than 45,Hispanic,0,0,0,0,F,Possession Of Heroin,2,Low,0,Male-Hispanic
Male,56,Greater than 45,Caucasian,0,0,0,0,F,Possession of Cocaine,1,Low,0,Male-Caucasian
Male,24,Less than 25,Other,0,0,0,0,F,Burglary Unoccupied Dwelling,2,Low,0,Male-Other
Male,57,Greater than 45,Hispanic,0,0,0,1,F,Driving While License Revoked,1,Low,0,Male-Hispanic
Male,66,Greater than 45,African-American,0,0,0,3,F,Agg Battery Grt/Bod/Harm,1,Low,0,Male-African-American
Male,37,25 - 45,African-American,0,0,0,2,M,Battery,9,High,1,Male-African-American
Male,45,Greater than 45,Caucasian,0,0,0,2,F,Lewd or Lascivious Molestation,3,Low,0,Male-Caucasian
Male,23,Less than 25,African-American,0,0,0,0,F,Possession of Cannabis,3,Low,1,Male-African-American
Male,34,25 - 45,African-American,0,0,0,2,M,Battery,2,Low,0,Male-African-American
Female,23,Less than 25,African-American,0,0,0,1,M,Battery,4,Low,0,Female-African-American
Male,50,Greater than 45,Caucasian,0,0,0,1,F,Sexual Performance by a Child,1,Low,0,Male-Caucasian
Female,37,25 - 45,Caucasian,0,0,0,0,M,Leaving Acc/Unattended Veh,3,Low,0,Female-Caucasian
Male,44,25 - 45,Caucasian,0,0,0,4,M,Battery,4,Low,0,Male-Caucasian
Male,27,25 - 45,African-American,0,0,0,0,M,Criminal Mischief,2,Low,0,Male-African-American
Female,28,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,8,High,0,Female-African-American
Male,38,25 - 45,African-American,0,0,0,2,F,Driving While License Revoked,1,Low,0,Male-African-American
Female,28,25 - 45,African-American,0,0,0,1,F,arrest case no charge,9,High,0,Female-African-American
Male,38,25 - 45,African-American,0,0,0,15,F,Possession of Cocaine,9,High,0,Male-African-American
Male,28,25 - 45,African-American,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,5,Medium,0,Male-African-American
Female,51,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low,1,Female-Caucasian
Male,51,Greater than 45,Caucasian,0,0,0,0,M,Battery,2,Low,0,Male-Caucasian
Male,48,Greater than 45,African-American,0,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),1,Low,0,Male-African-American
Female,30,25 - 45,African-American,0,0,0,2,F,Grand Theft in the 3rd Degree,7,Medium,0,Female-African-American
Female,41,25 - 45,African-American,0,0,0,5,M,Battery,6,Medium,0,Female-African-American
Male,37,25 - 45,African-American,0,0,0,0,M,Battery,1,Low,0,Male-African-American
Male,54,Greater than 45,African-American,0,0,0,11,F,Grand Theft (Motor Vehicle),9,High,0,Male-African-American
Male,23,Less than 25,African-American,0,0,0,2,F,Robbery / Weapon,9,High,0,Male-African-American
Male,41,25 - 45,African-American,0,0,0,0,M,Battery,1,Low,0,Male-African-American
Male,52,Greater than 45,Caucasian,0,0,0,0,F,Burglary With Assault/battery,1,Low,0,Male-Caucasian
Male,52,Greater than 45,African-American,0,0,0,0,F,Uttering a Forged Instrument,4,Low,0,Male-African-American
Male,28,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,1,Low,0,Male-Caucasian
Male,30,25 - 45,African-American,0,0,2,11,M,Battery,9,High,1,Male-African-American
Male,28,25 - 45,Caucasian,0,0,0,1,F,Criminal Mischief,5,Medium,0,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,0,F,Pos Cannabis W/Intent Sel/Del,4,Low,0,Male-African-American
Male,30,25 - 45,African-American,0,0,0,4,F,Driving While License Revoked,2,Low,0,Male-African-American
Male,25,25 - 45,Hispanic,0,0,0,4,F,Possession of Cannabis,4,Low,0,Male-Hispanic
Male,32,25 - 45,African-American,0,1,0,14,F,Aggravated Battery / Pregnant,9,High,0,Male-African-American
Male,53,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low,0,Male-Caucasian
Male,25,25 - 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,3,Low,0,Male-African-American
Female,37,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Female-Other
Female,40,25 - 45,Other,0,0,0,3,F,Driving While License Revoked,2,Low,0,Female-Other
Female,31,25 - 45,Hispanic,0,0,0,0,M,Battery,2,Low,0,Female-Hispanic
Male,24,Less than 25,Hispanic,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,8,High,0,Male-Hispanic
Male,29,25 - 45,African-American,0,0,0,1,M,Battery,3,Low,0,Male-African-American
Male,20,Less than 25,African-American,0,0,0,1,F,Carrying Concealed Firearm,8,High,1,Male-African-American
Male,39,25 - 45,Other,0,0,0,0,F,Throw In Occupied Dwell,1,Low,0,Male-Other
Male,27,25 - 45,African-American,0,0,0,4,F,arrest case no charge,4,Low,0,Male-African-American
Female,37,25 - 45,African-American,0,0,0,2,F,arrest case no charge,1,Low,0,Female-African-American
Male,20,Less than 25,African-American,0,0,0,0,F,Possession Burglary Tools,8,High,0,Male-African-American
Male,22,Less than 25,Hispanic,0,0,1,0,F,"Poss3,4 Methylenedioxymethcath",7,Medium,0,Male-Hispanic
Female,52,Greater than 45,African-American,0,0,0,0,F,Burglary Conveyance Unoccup,1,Low,0,Female-African-American
Female,48,Greater than 45,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,2,Low,0,Female-African-American
Male,25,25 - 45,Caucasian,0,0,0,0,F,"Deliver 3,4 Methylenediox",5,Medium,0,Male-Caucasian
Male,27,25 - 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,6,Medium,1,Male-Caucasian
Female,22,Less than 25,Caucasian,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,3,Low,0,Female-Caucasian
Female,41,25 - 45,African-American,0,0,0,2,M,Battery on Law Enforc Officer,3,Low,0,Female-African-American
Female,25,25 - 45,Other,0,0,0,0,F,Aggravated Assault W/Dead Weap,2,Low,0,Female-Other
Male,43,25 - 45,African-American,0,0,0,0,F,Felony Battery (Dom Strang),1,Low,0,Male-African-American
Male,37,25 - 45,Caucasian,0,0,0,3,F,arrest case no charge,1,Low,0,Male-Caucasian
Male,70,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low,0,Male-Caucasian
Male,46,Greater than 45,Caucasian,0,0,0,3,F,arrest case no charge,4,Low,0,Male-Caucasian
Male,26,25 - 45,African-American,0,0,0,1,M,Battery,8,High,1,Male-African-American
Male,34,25 - 45,Caucasian,0,0,0,5,M,Battery,4,Low,0,Male-Caucasian
Male,34,25 - 45,African-American,0,0,0,5,M,Driving License Suspended,4,Low,0,Male-African-American
Male,24,Less than 25,Other,0,0,0,0,F,Failure To Return Hired Vehicle,3,Low,0,Male-Other
Male,58,Greater than 45,Caucasian,0,0,0,2,F,Agg Fleeing/Eluding High Speed,3,Low,0,Male-Caucasian
Female,21,Less than 25,African-American,0,0,0,0,M,Battery,6,Medium,0,Female-African-American
Male,62,Greater than 45,Caucasian,0,0,0,0,F,False Imprisonment,1,Low,0,Male-Caucasian
Male,37,25 - 45,Caucasian,0,0,0,5,F,Battery on Law Enforc Officer,3,Low,0,Male-Caucasian
Female,32,25 - 45,African-American,0,0,0,5,F,Aggrav Battery w/Deadly Weapon,1,Low,0,Female-African-American
Male,23,Less than 25,Hispanic,0,0,0,0,F,Burglary Conveyance Unoccup,3,Low,0,Male-Hispanic
Male,27,25 - 45,African-American,0,0,0,0,M,Battery,1,Low,0,Male-African-American
Female,42,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,2,Low,0,Female-Caucasian
Male,24,Less than 25,Other,0,1,0,9,F,Resist Officer w/Violence,10,High,1,Male-Other
Male,27,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,2,Low,0,Male-African-American
Female,51,Greater than 45,Caucasian,0,0,0,0,M,Battery on Law Enforc Officer,1,Low,0,Female-Caucasian
Male,56,Greater than 45,Caucasian,0,0,0,0,M,Battery On Parking Enfor Speci,1,Low,0,Male-Caucasian
Male,29,25 - 45,African-American,0,0,0,7,F,arrest case no charge,9,High,0,Male-African-American
Male,27,25 - 45,Caucasian,0,0,0,8,F,arrest case no charge,5,Medium,0,Male-Caucasian
Male,24,Less than 25,African-American,0,1,0,2,F,Burglary Structure Unoccup,9,High,1,Male-African-American
Male,28,25 - 45,Caucasian,0,0,0,2,M,Battery,3,Low,1,Male-Caucasian
Male,21,Less than 25,Hispanic,0,1,0,3,F,Grand Theft in the 3rd Degree,5,Medium,0,Male-Hispanic
Female,36,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,7,Medium,0,Female-African-American
Female,23,Less than 25,Hispanic,0,0,0,1,M,Operating W/O Valid License,3,Low,0,Female-Hispanic
Male,28,25 - 45,Caucasian,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,5,Medium,0,Male-Caucasian
Male,36,25 - 45,Caucasian,0,0,0,0,M,Viol Injunct Domestic Violence,3,Low,0,Male-Caucasian
Male,24,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,3,Low,0,Male-African-American
Male,29,25 - 45,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,1,Low,0,Male-African-American
Female,30,25 - 45,Caucasian,0,0,0,0,M,Battery,6,Medium,0,Female-Caucasian
Male,51,Greater than 45,Hispanic,0,0,0,1,M,Assault,1,Low,0,Male-Hispanic
Male,32,25 - 45,African-American,0,1,0,12,F,arrest case no charge,9,High,1,Male-African-American
Male,23,Less than 25,African-American,0,0,1,1,F,Grand Theft in the 3rd Degree,6,Medium,0,Male-African-American
Male,47,Greater than 45,African-American,0,0,0,3,F,Possession Burglary Tools,3,Low,0,Male-African-American
Male,37,25 - 45,Caucasian,0,0,0,0,F,Forging Bank Bills/Promis Note,1,Low,0,Male-Caucasian
Male,27,25 - 45,Hispanic,0,0,0,0,M,Battery,8,High,0,Male-Hispanic
Male,39,25 - 45,Other,0,0,0,0,M,Battery,1,Low,0,Male-Other
Female,21,Less than 25,Caucasian,0,0,2,0,F,Possession of Cocaine,6,Medium,0,Female-Caucasian
Male,69,Greater than 45,Caucasian,0,0,0,0,M,Aggravated Assault W/dead Weap,1,Low,0,Male-Caucasian
Male,21,Less than 25,Caucasian,0,0,0,2,F,arrest case no charge,6,Medium,0,Male-Caucasian
Male,22,Less than 25,Caucasian,0,0,0,0,F,Possession of Cocaine,4,Low,0,Male-Caucasian
Male,49,Greater than 45,African-American,0,0,0,3,F,Grand Theft (Motor Vehicle),5,Medium,0,Male-African-American
Male,29,25 - 45,African-American,0,0,1,2,M,Battery,4,Low,0,Male-African-American
Female,60,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Female,20,Less than 25,Other,1,0,0,1,F,arrest case no charge,4,Low,0,Female-Other
Male,36,25 - 45,Hispanic,0,0,0,1,F,Felony/Driving Under Influence,3,Low,0,Male-Hispanic
Male,30,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,4,Low,0,Male-Caucasian
Male,21,Less than 25,African-American,0,1,0,1,F,Grand Theft in the 3rd Degree,3,Low,0,Male-African-American
Male,34,25 - 45,Caucasian,0,0,0,1,M,Battery,1,Low,0,Male-Caucasian
Female,53,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low,0,Female-Caucasian
Female,24,Less than 25,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,4,Low,0,Female-African-American
Male,42,25 - 45,African-American,0,0,0,1,F,arrest case no charge,1,Low,0,Male-African-American
Male,28,25 - 45,African-American,0,0,0,1,M,Battery,3,Low,0,Male-African-American
Male,22,Less than 25,African-American,0,0,0,4,F,Grand Theft in the 3rd Degree,9,High,1,Male-African-American
Male,21,Less than 25,Caucasian,0,0,0,3,M,arrest case no charge,7,Medium,0,Male-Caucasian
Male,35,25 - 45,African-American,0,0,0,2,F,Possession of Cannabis,5,Medium,0,Male-African-American
Male,53,Greater than 45,African-American,0,0,0,2,F,Felony Driving While Lic Suspd,1,Low,0,Male-African-American
Male,29,25 - 45,African-American,0,0,0,7,F,Possession of Cocaine,4,Low,0,Male-African-American
Male,48,Greater than 45,Caucasian,1,0,0,23,F,Felony Petit Theft,8,High,1,Male-Caucasian
Female,52,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Female-Caucasian
Male,28,25 - 45,African-American,0,0,0,5,F,arrest case no charge,9,High,0,Male-African-American
Male,33,25 - 45,Caucasian,0,0,0,3,M,Battery,3,Low,0,Male-Caucasian
Female,28,25 - 45,Hispanic,0,0,0,0,F,arrest case no charge,2,Low,0,Female-Hispanic
Male,29,25 - 45,African-American,1,0,0,2,F,Aggravated Battery / Pregnant,5,Medium,0,Male-African-American
Male,25,25 - 45,Caucasian,0,0,0,0,F,Resist Officer w/Violence,2,Low,0,Male-Caucasian
Male,56,Greater than 45,African-American,0,0,0,5,F,Driving While License Revoked,3,Low,0,Male-African-American
Male,27,25 - 45,African-American,0,0,0,9,F,Aggravated Battery / Pregnant,8,High,1,Male-African-American
Male,32,25 - 45,African-American,0,0,0,3,F,Battery on Law Enforc Officer,2,Low,0,Male-African-American
Male,60,Greater than 45,Other,0,0,0,4,F,arrest case no charge,1,Low,0,Male-Other
Male,23,Less than 25,Hispanic,0,0,0,1,M,Exposes Culpable Negligence,3,Low,0,Male-Hispanic
Female,39,25 - 45,Caucasian,0,0,0,0,M,Disorderly Intoxication,6,Medium,0,Female-Caucasian
Male,56,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Female,22,Less than 25,African-American,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",7,Medium,0,Female-African-American
Male,53,Greater than 45,African-American,0,0,0,11,F,arrest case no charge,6,Medium,0,Male-African-American
Male,21,Less than 25,Hispanic,0,0,0,0,M,Battery,3,Low,0,Male-Hispanic
Male,22,Less than 25,Caucasian,0,0,0,0,F,Leaving the Scene of Accident,3,Low,0,Male-Caucasian
Female,58,Greater than 45,Caucasian,0,0,0,2,M,DUI Property Damage/Injury,1,Low,0,Female-Caucasian
Male,42,25 - 45,Other,0,0,0,1,F,arrest case no charge,1,Low,0,Male-Other
Male,29,25 - 45,Caucasian,0,0,0,0,M,Battery,6,Medium,1,Male-Caucasian
Male,22,Less than 25,African-American,0,0,0,3,F,Grand Theft in the 3rd Degree,7,Medium,0,Male-African-American
Male,37,25 - 45,Caucasian,0,0,0,0,F,Crimin Mischief Damage $1000+,4,Low,0,Male-Caucasian
Male,27,25 - 45,Caucasian,0,0,0,3,M,Fleeing or Eluding a LEO,1,Low,0,Male-Caucasian
Male,26,25 - 45,African-American,0,0,0,3,F,Burglary Unoccupied Dwelling,4,Low,0,Male-African-American
Male,33,25 - 45,Caucasian,0,0,0,0,F,Aggravated Battery / Pregnant,1,Low,0,Male-Caucasian
Male,29,25 - 45,African-American,0,0,0,2,F,arrest case no charge,6,Medium,0,Male-African-American
Male,36,25 - 45,Caucasian,0,0,0,2,M,Battery,1,Low,0,Male-Caucasian
Female,24,Less than 25,Caucasian,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",5,Medium,0,Female-Caucasian
Male,34,25 - 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low,0,Male-Caucasian
Male,25,25 - 45,Hispanic,0,0,0,2,F,arrest case no charge,5,Medium,1,Male-Hispanic
Male,24,Less than 25,African-American,0,0,0,1,M,Battery,2,Low,1,Male-African-American
Male,61,Greater than 45,Caucasian,0,0,0,4,F,arrest case no charge,1,Low,0,Male-Caucasian
Female,50,Greater than 45,African-American,0,0,0,3,F,Aggravated Assault W/Dead Weap,2,Low,0,Female-African-American
Male,30,25 - 45,African-American,0,0,0,1,M,Battery,1,Low,0,Male-African-American
Male,38,25 - 45,African-American,0,0,0,5,F,Possession of Cannabis,3,Low,0,Male-African-American
Male,24,Less than 25,Caucasian,0,0,0,0,M,Battery,1,Low,0,Male-Caucasian
Male,20,Less than 25,Other,0,0,1,0,F,Possession of Cocaine,8,High,1,Male-Other
Male,27,25 - 45,African-American,0,0,0,13,M,Possess Cannabis/20 Grams Or Less,8,High,1,Male-African-American
Male,28,25 - 45,Caucasian,0,0,0,1,F,Agg Battery Grt/Bod/Harm,4,Low,1,Male-Caucasian
Male,26,25 - 45,African-American,1,1,0,10,F,Aggravated Battery,9,High,1,Male-African-American
Male,28,25 - 45,African-American,0,0,0,5,F,Possession Of Alprazolam,10,High,0,Male-African-American
Male,63,Greater than 45,Caucasian,0,0,0,2,F,Felony DUI (level 3),1,Low,0,Male-Caucasian
Male,42,25 - 45,African-American,0,0,0,0,F,Aggravated Assault w/Firearm,1,Low,0,Male-African-American
Male,23,Less than 25,African-American,1,2,2,6,F,Driving While License Revoked,6,Medium,0,Male-African-American
Male,54,Greater than 45,African-American,0,0,0,2,M,Battery,1,Low,0,Male-African-American
Male,35,25 - 45,African-American,0,0,0,1,M,Battery,2,Low,0,Male-African-American
Male,20,Less than 25,African-American,0,0,0,1,F,Fraudulent Use of Credit Card,10,High,1,Male-African-American
Male,51,Greater than 45,Caucasian,0,0,0,0,F,Felony Battery (Dom Strang),1,Low,0,Male-Caucasian
Male,24,Less than 25,Hispanic,0,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",10,High,0,Male-Hispanic
Male,37,25 - 45,Caucasian,0,0,0,3,F,Possession of Cocaine,2,Low,0,Male-Caucasian
Male,47,Greater than 45,Caucasian,0,0,0,3,F,Drivg While Lic Suspd/Revk/Can,1,Low,0,Male-Caucasian
Male,56,Greater than 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low,0,Male-Caucasian
Male,35,25 - 45,Asian,0,0,0,0,F,Burglary Structure Unoccup,6,Medium,0,Male-Asian
Male,58,Greater than 45,Hispanic,0,0,0,1,F,Possession Burglary Tools,1,Low,0,Male-Hispanic
Male,29,25 - 45,Hispanic,0,0,0,2,M,Driving Under The Influence,4,Low,0,Male-Hispanic
Female,24,Less than 25,Caucasian,0,0,1,6,F,Poss Contr Subst W/o Prescript,9,High,1,Female-Caucasian
Male,21,Less than 25,Caucasian,0,0,4,2,M,Assault,9,High,1,Male-Caucasian
Male,26,25 - 45,African-American,0,0,0,1,F,Cash Item w/Intent to Defraud,2,Low,0,Male-African-American
