age,education-num,race,capital-gain,capital-loss,hours-per-week,income-per-year,sex
36,13,1,0,0,45,<=50K,Male
31,9,1,0,0,40,<=50K,Female
29,13,1,0,0,56,<=50K,Male
21,10,1,0,0,45,<=50K,Male
27,13,0,0,0,40,<=50K,Female
65,9,1,0,0,16,<=50K,Male
37,13,1,0,0,60,<=50K,Female
24,9,1,0,0,40,<=50K,Male
38,9,1,0,0,80,<=50K,Male
48,13,1,7688,0,40,>50K,Male
21,10,0,0,0,25,<=50K,Female
31,9,1,0,0,45,>50K,Male
55,9,1,4386,0,40,>50K,Male
24,10,0,0,0,40,<=50K,Female
43,9,1,0,0,40,<=50K,Female
26,12,1,0,0,45,<=50K,Male
46,12,1,0,0,33,<=50K,Female
35,12,1,0,0,40,>50K,Male
41,10,1,0,0,54,>50K,Male
26,13,1,0,0,40,<=50K,Male
34,14,0,7298,0,35,>50K,Male
36,13,0,0,0,40,>50K,Female
22,10,1,0,0,15,<=50K,Male
24,10,1,0,0,40,<=50K,Male
77,10,1,0,0,40,<=50K,Male
22,3,1,0,0,40,<=50K,Female
29,10,1,0,0,40,<=50K,Female
62,9,1,0,0,24,<=50K,Female
39,9,1,0,0,40,<=50K,Male
43,10,1,0,1485,50,<=50K,Male
35,9,1,0,0,45,<=50K,Male
29,7,1,0,0,40,<=50K,Female
76,14,1,0,0,10,<=50K,Male
63,9,1,0,0,45,<=50K,Male
43,10,1,0,1887,50,>50K,Female
58,9,1,0,0,40,<=50K,Male
66,9,1,2050,0,55,<=50K,Male
41,10,0,0,0,45,<=50K,Male
26,13,1,0,0,40,<=50K,Male
47,11,1,0,0,40,<=50K,Male
55,6,1,0,0,40,<=50K,Male
53,9,1,0,0,40,<=50K,Male
17,3,1,0,0,48,<=50K,Male
30,9,1,0,0,40,<=50K,Male
49,14,1,0,0,60,<=50K,Male
19,9,0,0,0,30,<=50K,Male
45,9,0,0,0,40,<=50K,Male
26,12,1,0,0,40,<=50K,Male
38,11,1,7298,0,40,>50K,Male
36,9,1,7298,0,40,>50K,Male
33,9,1,0,0,20,<=50K,Male
22,10,0,0,0,40,<=50K,Female
43,13,1,0,0,42,<=50K,Male
56,12,1,0,0,25,<=50K,Male
31,13,1,0,0,25,<=50K,Male
33,13,1,0,0,40,>50K,Male
26,9,1,0,0,40,<=50K,Male
33,13,1,0,0,40,>50K,Male
46,7,1,0,0,30,<=50K,Male
38,9,1,0,0,40,>50K,Male
65,7,0,0,0,40,<=50K,Male
40,11,1,0,0,40,>50K,Male
42,9,1,0,0,35,<=50K,Female
26,5,1,0,0,40,<=50K,Male
36,6,1,0,0,24,<=50K,Female
62,14,1,0,0,40,>50K,Male
43,13,1,0,0,45,<=50K,Male
43,13,1,0,1564,45,>50K,Male
22,9,1,0,0,55,<=50K,Male
28,9,1,0,0,40,<=50K,Male
56,10,1,0,0,45,<=50K,Male
22,12,1,0,0,15,<=50K,Female
57,13,1,0,0,45,>50K,Female
39,9,1,0,0,40,<=50K,Female
26,10,1,0,0,15,<=50K,Female
17,7,1,0,0,10,<=50K,Male
40,11,1,0,0,38,>50K,Male
45,9,0,0,0,40,<=50K,Male
44,9,0,0,0,40,<=50K,Male
20,10,1,0,0,10,<=50K,Female
33,9,1,0,0,40,<=50K,Female
23,10,1,0,0,40,<=50K,Male
46,14,1,0,0,30,<=50K,Male
38,9,1,0,0,50,<=50K,Male
54,9,1,0,0,40,<=50K,Male
46,3,1,0,2339,45,<=50K,Female
25,10,1,0,0,40,<=50K,Male
46,10,1,0,0,40,<=50K,Female
36,10,1,0,0,40,<=50K,Female
23,9,1,0,0,25,<=50K,Female
29,9,1,0,0,40,<=50K,Male
44,10,1,0,2415,6,>50K,Female
19,10,1,0,0,16,<=50K,Female
19,9,1,0,0,40,<=50K,Female
35,9,1,0,0,40,>50K,Female
27,13,1,0,0,50,<=50K,Male
46,12,1,0,0,40,<=50K,Male
34,9,1,0,0,35,<=50K,Female
44,10,1,0,0,40,<=50K,Male
45,10,1,0,0,40,<=50K,Female
25,13,1,0,0,55,>50K,Male
52,13,1,0,0,50,>50K,Male
20,10,1,0,0,40,<=50K,Male
28,10,1,0,0,40,<=50K,Female
50,13,1,0,0,40,>50K,Male
34,11,1,0,0,64,<=50K,Female
28,4,0,0,2179,40,<=50K,Male
41,14,1,0,1977,65,>50K,Male
28,9,1,0,0,40,<=50K,Male
46,9,1,0,0,25,<=50K,Male
32,10,1,0,0,50,<=50K,Male
41,10,0,0,0,24,<=50K,Female
24,9,0,0,0,40,<=50K,Female
33,10,1,0,0,40,<=50K,Female
46,16,1,15024,0,60,>50K,Male
31,10,1,0,0,40,<=50K,Male
35,8,1,0,0,50,>50K,Male
52,2,1,0,0,40,<=50K,Male
30,7,1,0,0,19,<=50K,Female
34,7,0,0,0,40,<=50K,Male
34,9,1,0,0,40,<=50K,Female
20,10,1,0,0,30,<=50K,Male
17,7,1,2176,0,18,<=50K,Male
32,13,1,0,0,40,>50K,Female
29,9,1,0,0,40,<=50K,Male
33,6,1,0,0,35,<=50K,Female
25,9,1,0,0,60,<=50K,Male
36,14,1,0,1408,40,<=50K,Male
23,9,1,0,0,72,<=50K,Male
63,9,1,0,0,40,>50K,Male
47,14,1,0,0,40,<=50K,Male
40,13,1,2174,0,40,<=50K,Female
30,12,1,0,0,25,>50K,Female
27,10,0,0,1980,40,<=50K,Male
33,14,1,0,0,50,>50K,Male
34,9,0,594,0,60,<=50K,Male
34,10,1,0,0,40,<=50K,Female
23,10,1,0,0,40,<=50K,Male
42,10,1,0,0,40,<=50K,Female
29,13,1,0,0,40,<=50K,Male
45,9,1,0,0,28,<=50K,Female
24,9,1,0,0,40,<=50K,Male
44,10,1,0,0,40,>50K,Male
27,5,1,0,0,40,<=50K,Male
20,10,1,0,0,35,<=50K,Male
44,9,0,0,0,40,<=50K,Female
51,9,0,0,0,40,<=50K,Male
20,9,1,0,0,40,<=50K,Male
19,9,0,0,0,40,<=50K,Female
45,10,1,0,0,55,>50K,Male
60,9,1,0,0,40,>50K,Male
44,9,1,0,0,40,>50K,Female
40,11,0,0,0,40,>50K,Male
30,9,1,0,0,40,<=50K,Female
38,10,0,0,0,50,<=50K,Male
23,9,1,0,0,60,<=50K,Male
44,12,1,0,0,40,<=50K,Male
54,9,0,0,0,40,<=50K,Male
32,13,1,0,0,50,<=50K,Male
50,2,1,0,0,40,<=50K,Male
24,13,1,0,0,20,<=50K,Female
37,9,1,0,0,60,<=50K,Female
52,9,1,0,0,40,<=50K,Male
38,10,1,0,0,40,<=50K,Male
49,14,1,0,1977,45,>50K,Male
30,13,1,0,0,16,>50K,Female
60,10,1,0,0,40,>50K,Male
35,9,1,0,0,40,<=50K,Male
30,9,1,0,0,60,<=50K,Male
67,11,1,0,0,24,<=50K,Female
46,13,1,0,0,40,<=50K,Female
17,5,1,0,0,6,<=50K,Male
22,10,1,0,0,30,<=50K,Male
27,6,1,0,0,40,<=50K,Male
23,9,1,0,0,35,<=50K,Female
33,12,1,0,0,45,<=50K,Male
43,10,1,0,0,20,<=50K,Male
28,13,1,0,0,20,<=50K,Male
41,9,1,0,0,40,<=50K,Female
25,10,0,0,0,20,<=50K,Female
59,9,1,0,0,45,<=50K,Male
45,13,1,0,0,40,<=50K,Female
38,13,1,15024,0,60,>50K,Male
40,9,1,0,0,35,<=50K,Female
46,9,1,0,0,40,<=50K,Male
35,12,1,0,0,60,<=50K,Female
34,9,1,0,0,25,<=50K,Female
33,13,1,0,0,20,<=50K,Male
41,9,1,0,0,36,<=50K,Female
20,10,1,0,0,40,<=50K,Male
23,3,1,0,0,40,<=50K,Male
26,10,1,0,0,35,<=50K,Female
23,9,1,0,0,40,<=50K,Male
62,9,1,0,0,40,<=50K,Male
52,10,1,0,0,40,<=50K,Male
58,10,1,0,0,42,<=50K,Female
25,13,1,0,0,40,<=50K,Female
24,13,0,0,0,40,<=50K,Male
19,10,1,0,0,8,<=50K,Male
43,10,1,0,0,40,<=50K,Male
47,9,0,0,0,40,<=50K,Female
39,9,1,0,0,40,<=50K,Female
49,11,1,0,1380,42,<=50K,Male
32,11,1,0,0,45,<=50K,Male
34,10,1,0,0,50,>50K,Male
28,9,1,0,0,45,<=50K,Male
25,10,0,0,0,20,<=50K,Female
34,13,1,0,0,50,>50K,Male
38,13,1,15024,0,80,>50K,Male
50,9,1,7688,0,50,>50K,Male
24,10,0,0,0,50,<=50K,Male
37,10,1,0,0,45,>50K,Male
44,10,1,0,0,58,>50K,Male
28,10,1,0,0,40,<=50K,Female
42,13,1,0,0,40,>50K,Male
74,10,1,0,0,9,<=50K,Female
38,9,1,0,0,50,<=50K,Male
44,14,1,0,0,40,<=50K,Male
44,7,0,0,0,46,<=50K,Female
26,9,1,0,0,40,<=50K,Male
36,9,0,0,0,40,<=50K,Male
41,12,1,0,0,50,>50K,Female
67,15,1,20051,0,48,>50K,Male
39,8,1,0,0,50,<=50K,Male
57,2,0,0,0,30,<=50K,Female
29,11,1,0,0,40,<=50K,Male
31,13,1,0,0,45,<=50K,Female
44,10,1,0,0,40,<=50K,Male
29,16,1,0,0,40,<=50K,Male
30,10,1,0,0,40,<=50K,Female
27,9,1,0,0,40,<=50K,Male
27,10,1,0,0,50,<=50K,Male
32,9,1,0,0,45,<=50K,Female
58,6,1,0,0,8,<=50K,Female
35,10,1,0,0,40,<=50K,Male
21,9,1,0,0,36,<=50K,Male
28,10,1,0,0,40,<=50K,Male
46,10,1,0,0,50,<=50K,Male
36,9,1,0,0,40,<=50K,Female
72,7,1,0,0,40,<=50K,Female
35,9,0,0,0,40,<=50K,Female
33,11,0,0,0,40,>50K,Female
69,7,1,0,0,40,<=50K,Female
35,9,1,0,0,40,<=50K,Male
34,9,1,0,0,32,<=50K,Female
30,7,1,0,0,40,<=50K,Male
28,13,1,0,0,55,<=50K,Male
54,13,1,0,0,35,>50K,Male
47,10,1,0,0,50,>50K,Male
24,9,0,0,0,40,<=50K,Female
52,13,1,0,0,60,>50K,Male
20,9,0,0,0,48,<=50K,Male
43,14,1,5013,0,45,<=50K,Male
45,4,1,0,0,40,<=50K,Female
29,9,1,0,0,35,<=50K,Male
47,14,1,0,0,42,<=50K,Male
24,9,1,0,0,40,<=50K,Male
51,9,1,0,0,40,<=50K,Male
17,7,1,0,0,12,<=50K,Male
37,11,1,0,1977,40,>50K,Male
27,16,1,0,0,70,<=50K,Female
29,13,1,0,0,40,>50K,Male
36,12,1,0,0,35,<=50K,Female
58,13,1,0,0,40,<=50K,Female
26,10,1,0,0,45,<=50K,Male
57,9,1,0,0,40,>50K,Male
59,9,1,0,0,40,<=50K,Male
27,9,1,0,0,40,<=50K,Male
31,13,1,0,0,40,<=50K,Male
21,10,1,0,0,24,<=50K,Female
29,10,1,0,0,60,<=50K,Male
18,7,1,0,0,40,<=50K,Male
52,6,1,0,1887,47,>50K,Male
57,13,1,0,0,80,<=50K,Male
60,4,1,0,0,48,>50K,Male
31,13,1,7688,0,40,>50K,Male
23,13,1,0,0,40,<=50K,Female
27,9,1,0,0,40,<=50K,Male
42,15,1,0,1902,50,>50K,Male
25,10,1,2174,0,40,<=50K,Male
49,13,1,0,0,45,<=50K,Female
32,13,1,0,0,40,<=50K,Male
19,10,1,0,0,28,<=50K,Male
60,4,1,0,0,40,<=50K,Female
42,5,1,0,0,40,<=50K,Male
35,12,1,0,0,40,<=50K,Male
48,9,0,0,0,37,<=50K,Female
51,14,1,0,0,40,>50K,Male
29,9,0,0,0,40,<=50K,Male
36,9,0,0,0,40,<=50K,Male
17,6,1,0,0,21,<=50K,Female
52,14,1,6849,0,60,<=50K,Female
24,9,1,0,0,40,<=50K,Male
24,9,1,0,0,50,<=50K,Male
26,13,1,1055,0,40,<=50K,Male
27,13,1,0,0,20,<=50K,Female
39,9,1,0,0,60,<=50K,Male
30,9,0,0,0,45,<=50K,Male
50,9,1,0,0,32,<=50K,Male
52,13,1,0,0,55,<=50K,Male
46,15,1,15024,0,45,>50K,Male
23,13,1,0,0,20,<=50K,Female
45,7,0,0,0,20,<=50K,Female
65,5,0,0,0,24,<=50K,Female
29,11,1,0,0,55,<=50K,Male
47,5,1,0,0,40,<=50K,Male
30,9,0,0,0,60,<=50K,Male
34,9,1,0,0,45,>50K,Male
38,9,1,0,0,64,<=50K,Male
33,10,1,0,0,40,>50K,Male
49,13,1,0,0,26,>50K,Male
47,10,0,0,0,40,<=50K,Female
49,6,0,0,0,40,<=50K,Female
43,10,1,15024,0,60,>50K,Male
30,13,0,0,0,40,>50K,Female
58,9,1,0,0,60,<=50K,Male
19,9,1,0,0,14,<=50K,Female
21,13,1,0,0,40,<=50K,Male
33,13,1,15024,0,60,>50K,Male
47,3,1,0,0,50,<=50K,Male
52,16,1,0,0,60,>50K,Male
26,9,1,0,0,55,<=50K,Male
60,9,1,0,0,40,<=50K,Male
21,10,1,0,0,40,<=50K,Male
36,10,1,5178,0,50,>50K,Male
31,10,1,0,0,45,<=50K,Male
50,16,1,0,0,40,>50K,Male
31,9,1,0,0,40,<=50K,Female
71,9,1,0,0,15,<=50K,Male
30,13,1,0,0,40,>50K,Male
20,10,1,0,0,20,<=50K,Male
24,9,1,4101,0,50,<=50K,Male
35,16,0,0,0,40,>50K,Male
38,10,1,0,0,45,<=50K,Female
27,9,1,0,0,32,<=50K,Female
29,10,0,0,0,40,<=50K,Female
34,9,1,0,0,45,<=50K,Male
44,4,1,0,0,35,<=50K,Male
43,9,1,0,0,40,>50K,Male
44,8,0,0,0,40,>50K,Male
35,14,1,0,0,60,<=50K,Male
27,10,1,0,0,40,<=50K,Male
43,14,1,0,0,38,<=50K,Male
20,10,1,0,0,25,<=50K,Female
42,12,1,8614,0,40,>50K,Female
27,10,1,3411,0,40,<=50K,Male
42,9,0,0,0,40,>50K,Male
24,5,1,0,1721,40,<=50K,Male
48,10,1,0,0,40,<=50K,Male
17,7,1,0,0,10,<=50K,Male
33,13,1,0,0,40,>50K,Male
50,9,1,0,0,50,>50K,Male
22,9,1,2597,0,40,<=50K,Female
17,8,1,0,0,16,<=50K,Male
32,10,1,0,0,40,<=50K,Male
31,9,1,0,0,45,<=50K,Male
58,9,1,0,0,50,<=50K,Male
29,9,1,0,0,48,<=50K,Male
37,11,1,0,0,40,>50K,Male
34,9,1,0,0,40,>50K,Male
23,10,0,0,0,40,<=50K,Male
18,7,1,0,0,5,<=50K,Female
34,9,1,0,0,40,<=50K,Female
45,13,1,0,0,55,<=50K,Female
41,14,1,0,0,35,<=50K,Male
26,9,1,0,0,30,<=50K,Male
54,10,1,0,0,40,<=50K,Male
24,10,0,0,0,45,<=50K,Female
42,10,1,0,0,50,<=50K,Male
20,10,1,0,0,20,<=50K,Male
23,13,1,0,0,20,<=50K,Female
35,14,1,0,0,60,>50K,Male
31,14,1,0,1902,40,>50K,Male
30,13,1,0,0,40,<=50K,Female
19,9,1,0,0,20,<=50K,Female
36,13,1,0,0,50,<=50K,Male
31,13,1,0,1380,40,<=50K,Female
21,10,1,0,0,30,<=50K,Male
31,10,1,0,0,40,<=50K,Male
46,16,1,25236,0,65,>50K,Female
44,13,1,0,0,50,>50K,Female
40,8,0,0,0,40,<=50K,Male
45,10,0,0,0,40,<=50K,Male
60,9,1,0,0,35,<=50K,Male
18,7,1,0,0,25,<=50K,Male
28,13,1,0,0,40,<=50K,Male
36,10,0,0,0,40,<=50K,Female
40,11,1,4386,0,40,<=50K,Male
36,13,1,0,0,35,<=50K,Female
31,9,0,0,0,40,<=50K,Female
33,9,1,0,0,40,<=50K,Male
19,9,1,0,0,40,<=50K,Female
22,10,1,0,0,15,<=50K,Female
34,13,1,0,0,45,>50K,Male
33,9,1,0,0,40,<=50K,Male
41,9,1,0,2051,60,<=50K,Male
29,13,1,4650,0,40,<=50K,Male
50,9,1,0,0,42,>50K,Male
42,13,1,7298,0,45,>50K,Male
44,9,1,0,0,40,<=50K,Female
20,10,1,0,0,20,<=50K,Female
31,9,1,0,0,40,<=50K,Male
23,10,1,0,0,24,<=50K,Female
55,10,0,0,0,40,<=50K,Female
26,11,1,0,2377,45,<=50K,Male
25,11,1,0,0,15,<=50K,Female
35,10,1,2407,0,40,<=50K,Male
36,10,0,0,0,36,<=50K,Female
43,13,1,0,0,50,<=50K,Male
56,9,0,594,0,20,<=50K,Female
42,13,1,0,0,40,>50K,Male
19,10,1,0,0,25,<=50K,Female
55,9,1,0,0,72,<=50K,Male
42,14,1,14084,0,50,>50K,Female
26,11,1,0,0,40,<=50K,Male
17,8,1,0,0,20,<=50K,Male
42,13,1,0,0,40,>50K,Female
55,9,1,7688,0,40,>50K,Male
32,10,0,0,0,40,<=50K,Female
29,7,0,0,0,40,<=50K,Male
46,13,1,0,0,37,<=50K,Male
29,13,1,7688,0,40,>50K,Male
22,13,1,0,0,20,<=50K,Male
58,6,1,0,0,40,<=50K,Male
23,9,1,0,0,50,<=50K,Male
39,9,1,0,0,40,<=50K,Male
27,11,1,0,0,38,<=50K,Male
54,9,1,0,0,40,>50K,Male
33,13,1,0,0,45,<=50K,Female
46,9,1,0,0,40,>50K,Female
