sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text
Male,24,Less than 25,Caucasian,0,1,2,8,F,False Ownership Info/Pawn Item,6,Medium
Male,30,25 - 45,Caucasian,0,0,0,0,F,Possession Of Methamphetamine,4,Low
Male,31,25 - 45,Caucasian,0,0,0,0,M,Battery,5,Medium
Female,39,25 - 45,Caucasian,0,0,0,1,F,Possession of Morphine,4,Low
Male,43,25 - 45,Caucasian,0,0,0,1,F,Possession of Cocaine,1,Low
Male,33,25 - 45,African-American,0,0,0,5,F,Poss Contr Subst W/o Prescript,5,Medium
Male,37,25 - 45,African-American,0,0,0,3,F,"Poss3,4 Methylenedioxymethcath",2,Low
Male,41,25 - 45,African-American,0,1,0,10,F,Possession of Cocaine,9,High
Male,22,Less than 25,African-American,0,0,0,0,F,Uttering a Forged Instrument,4,Low
Male,33,25 - 45,African-American,0,12,2,28,F,Driving While License Revoked,8,High
Male,31,25 - 45,African-American,0,0,0,1,M,Battery,7,Medium
Female,30,25 - 45,Other,0,0,0,1,F,Crim Use of Personal ID Info,2,Low
Male,27,25 - 45,African-American,0,0,0,3,F,Possession of Cocaine,9,High
Male,52,Greater than 45,Caucasian,0,0,0,3,M,Battery,9,High
Male,33,25 - 45,African-American,0,0,0,19,F,arrest case no charge,10,High
Female,24,Less than 25,African-American,0,0,0,0,M,Battery,2,Low
Female,29,25 - 45,Caucasian,0,1,0,10,F,Grand Theft in the 3rd Degree,4,Low
Male,32,25 - 45,African-American,0,0,0,3,F,Possession of Cocaine,7,Medium
Male,31,25 - 45,Caucasian,0,0,0,2,M,Resist/Obstruct W/O Violence,3,Low
Male,59,Greater than 45,Caucasian,0,0,0,1,F,Possession of Cocaine,2,Low
Female,20,Less than 25,African-American,1,0,0,1,F,arrest case no charge,10,High
Female,43,25 - 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,38,25 - 45,African-American,1,1,0,9,F,Possession of Cocaine,8,High
Male,33,25 - 45,African-American,0,0,0,8,M,Assault,5,Medium
Male,27,25 - 45,African-American,0,0,0,2,F,Tampering With Physical Evidence,9,High
Female,61,Greater than 45,African-American,0,0,0,1,F,Solicit Purchase Cocaine,1,Low
Male,52,Greater than 45,Other,0,0,0,13,F,Felony Petit Theft,7,Medium
Male,63,Greater than 45,Hispanic,0,0,0,1,F,arrest case no charge,1,Low
Male,29,25 - 45,Hispanic,0,0,0,1,F,Grand Theft in the 3rd Degree,4,Low
Male,39,25 - 45,Caucasian,1,0,0,1,M,,4,Low
Female,30,25 - 45,Caucasian,0,0,0,3,F,Possession Of Carisoprodol,7,Medium
Male,30,25 - 45,African-American,0,0,0,1,F,Burglary Conveyance Assault/Bat,7,Medium
Male,22,Less than 25,African-American,0,0,0,1,F,arrest case no charge,2,Low
Male,46,Greater than 45,Caucasian,0,0,0,6,F,Driving While License Revoked,1,Low
Male,25,25 - 45,African-American,0,0,0,1,M,Battery,2,Low
Male,23,Less than 25,Hispanic,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",3,Low
Female,32,25 - 45,African-American,0,0,0,5,F,Aggravated Assault W/dead Weap,7,Medium
Male,28,25 - 45,African-American,0,0,0,6,M,Resist/Obstruct W/O Violence,6,Medium
Male,54,Greater than 45,Hispanic,0,0,0,2,F,Burglary Unoccupied Dwelling,1,Low
Male,58,Greater than 45,Hispanic,0,0,0,0,F,Possession Of Heroin,2,Low
Male,22,Less than 25,African-American,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,5,Medium
Male,47,Greater than 45,African-American,0,0,0,23,M,Possess Cannabis/20 Grams Or Less,8,High
Male,23,Less than 25,African-American,0,0,0,0,M,Battery,2,Low
Male,57,Greater than 45,Hispanic,0,0,0,1,F,Driving While License Revoked,1,Low
Male,66,Greater than 45,African-American,0,0,0,3,F,Agg Battery Grt/Bod/Harm,1,Low
Male,45,Greater than 45,Caucasian,0,0,0,8,M,Viol Injunct Domestic Violence,4,Low
Male,26,25 - 45,African-American,0,0,0,9,F,Deliver Cocaine,9,High
Male,45,Greater than 45,Caucasian,0,0,0,2,F,Lewd or Lascivious Molestation,3,Low
Female,23,Less than 25,African-American,0,0,0,1,M,Battery,4,Low
Male,50,Greater than 45,Caucasian,0,0,0,1,F,Sexual Performance by a Child,1,Low
Female,37,25 - 45,Caucasian,0,0,0,0,M,Leaving Acc/Unattended Veh,3,Low
Female,35,25 - 45,African-American,0,1,0,23,F,Felony Petit Theft,9,High
Male,24,Less than 25,Other,0,0,0,5,F,arrest case no charge,5,Medium
Male,27,25 - 45,African-American,0,0,0,0,M,Criminal Mischief,2,Low
Female,28,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,8,High
Male,38,25 - 45,African-American,0,0,0,2,F,Driving While License Revoked,1,Low
Female,28,25 - 45,African-American,0,0,0,1,F,arrest case no charge,9,High
Male,56,Greater than 45,Caucasian,0,0,0,7,F,Felony Driving While Lic Suspd,1,Low
Male,38,25 - 45,African-American,0,0,0,15,F,Possession of Cocaine,9,High
Male,28,25 - 45,African-American,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,5,Medium
Female,51,Greater than 45,Caucasian,0,0,0,0,M,Driving Under The Influence,1,Low
Male,51,Greater than 45,Caucasian,0,0,0,0,M,Battery,2,Low
Male,36,25 - 45,Other,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,1,Low
Male,48,Greater than 45,African-American,0,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),1,Low
Male,37,25 - 45,Caucasian,0,0,0,4,F,arrest case no charge,3,Low
Female,30,25 - 45,African-American,0,0,0,2,F,Grand Theft in the 3rd Degree,7,Medium
Female,41,25 - 45,African-American,0,0,0,5,M,Battery,6,Medium
Male,27,25 - 45,African-American,0,0,0,11,F,Robbery / No Weapon,10,High
Male,37,25 - 45,African-American,0,0,0,0,M,Battery,1,Low
Male,33,25 - 45,Other,0,0,0,4,F,Aggravated Assault w/Firearm,4,Low
Male,23,Less than 25,African-American,0,0,0,2,F,Robbery / Weapon,9,High
Male,41,25 - 45,African-American,0,0,0,0,M,Battery,1,Low
Male,43,25 - 45,Caucasian,0,0,0,13,F,Driving While License Revoked,4,Low
Male,28,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,1,Low
Male,30,25 - 45,African-American,0,0,2,11,M,Battery,9,High
Male,28,25 - 45,Caucasian,0,0,0,1,F,Criminal Mischief,5,Medium
Male,30,25 - 45,African-American,0,0,0,4,F,Driving While License Revoked,2,Low
Male,25,25 - 45,Hispanic,0,0,0,4,F,Possession of Cannabis,4,Low
Male,31,25 - 45,Caucasian,0,0,0,0,F,Burglary Unoccupied Dwelling,8,High
Male,37,25 - 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,2,Low
Male,53,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low
Male,28,25 - 45,African-American,0,0,0,25,F,arrest case no charge,8,High
Male,25,25 - 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,3,Low
Male,22,Less than 25,Caucasian,0,0,1,1,M,Voyeurism,8,High
Female,37,25 - 45,Other,0,0,0,0,M,Battery,1,Low
Female,40,25 - 45,Other,0,0,0,3,F,Driving While License Revoked,2,Low
Male,23,Less than 25,Hispanic,0,0,1,1,F,arrest case no charge,6,Medium
Female,23,Less than 25,Caucasian,0,0,4,5,F,arrest case no charge,5,Medium
Male,24,Less than 25,Hispanic,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,8,High
Male,29,25 - 45,African-American,0,0,0,1,M,Battery,3,Low
Male,20,Less than 25,African-American,0,0,0,1,F,Carrying Concealed Firearm,8,High
Male,30,25 - 45,African-American,0,0,0,2,F,Carrying Concealed Firearm,6,Medium
Male,27,25 - 45,African-American,0,0,0,4,F,arrest case no charge,4,Low
Female,37,25 - 45,African-American,0,0,0,2,F,arrest case no charge,1,Low
Male,20,Less than 25,African-American,0,0,0,0,F,Possession Burglary Tools,8,High
Male,22,Less than 25,Hispanic,0,0,1,0,F,"Poss3,4 Methylenedioxymethcath",7,Medium
Female,52,Greater than 45,African-American,0,0,0,0,F,Burglary Conveyance Unoccup,1,Low
Female,48,Greater than 45,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,2,Low
Male,25,25 - 45,Caucasian,0,0,0,0,F,"Deliver 3,4 Methylenediox",5,Medium
Male,27,25 - 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,6,Medium
Male,30,25 - 45,African-American,0,0,0,11,F,Unauth Poss ID Card or DL,7,Medium
Female,41,25 - 45,African-American,0,0,0,2,M,Battery on Law Enforc Officer,3,Low
Female,25,25 - 45,Other,0,0,0,0,F,Aggravated Assault W/Dead Weap,2,Low
Male,37,25 - 45,Caucasian,0,0,0,3,F,arrest case no charge,1,Low
Male,70,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low
Male,21,Less than 25,African-American,0,0,0,0,M,Petit Theft,9,High
Male,26,25 - 45,African-American,0,0,0,1,M,Battery,8,High
Male,34,25 - 45,Caucasian,0,0,0,5,M,Battery,4,Low
Male,34,25 - 45,African-American,0,0,0,5,M,Driving License Suspended,4,Low
Male,23,Less than 25,Caucasian,0,0,0,0,F,Aggravated Assault W/Dead Weap,5,Medium
Male,34,25 - 45,African-American,0,0,0,5,F,Possession of Oxycodone,4,Low
Male,24,Less than 25,Other,0,0,0,0,F,Failure To Return Hired Vehicle,3,Low
Male,58,Greater than 45,Caucasian,0,0,0,2,F,Agg Fleeing/Eluding High Speed,3,Low
Female,21,Less than 25,African-American,0,0,0,0,M,Battery,6,Medium
Male,23,Less than 25,African-American,0,0,1,4,M,Possess Cannabis/20 Grams Or Less,8,High
Male,62,Greater than 45,Caucasian,0,0,0,0,F,False Imprisonment,1,Low
Male,43,25 - 45,Other,0,0,0,2,F,Grand Theft in the 3rd Degree,2,Low
Female,32,25 - 45,African-American,0,0,0,5,F,Aggrav Battery w/Deadly Weapon,1,Low
Male,27,25 - 45,African-American,0,0,0,0,M,Battery,1,Low
Male,44,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,28,25 - 45,Caucasian,0,0,0,3,M,Battery,3,Low
Female,42,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,2,Low
Male,24,Less than 25,Other,0,1,0,9,F,Resist Officer w/Violence,10,High
Male,27,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,2,Low
Male,20,Less than 25,African-American,0,0,0,0,F,Grand Theft (Motor Vehicle),10,High
Male,20,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,9,High
Male,27,25 - 45,Caucasian,0,0,0,8,F,arrest case no charge,5,Medium
Male,24,Less than 25,African-American,0,1,0,2,F,Burglary Structure Unoccup,9,High
Male,21,Less than 25,Hispanic,0,1,0,3,F,Grand Theft in the 3rd Degree,5,Medium
Female,36,25 - 45,African-American,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,7,Medium
Female,25,25 - 45,Caucasian,0,0,0,2,M,Petit Theft,4,Low
Female,23,Less than 25,Hispanic,0,0,0,1,M,Operating W/O Valid License,3,Low
Male,28,25 - 45,Caucasian,0,0,0,1,F,Pos Cannabis W/Intent Sel/Del,5,Medium
Female,21,Less than 25,African-American,0,0,0,0,F,Robbery Sudd Snatch No Weapon,8,High
Male,36,25 - 45,Caucasian,0,0,0,0,M,Viol Injunct Domestic Violence,3,Low
Male,24,Less than 25,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,3,Low
Male,30,25 - 45,Other,0,0,0,1,F,arrest case no charge,2,Low
Female,30,25 - 45,Caucasian,0,0,0,0,M,Battery,6,Medium
Male,51,Greater than 45,Hispanic,0,0,0,1,M,Assault,1,Low
Male,32,25 - 45,African-American,0,1,0,12,F,arrest case no charge,9,High
Male,23,Less than 25,African-American,0,0,1,1,F,Grand Theft in the 3rd Degree,6,Medium
Male,47,Greater than 45,African-American,0,0,0,3,F,Possession Burglary Tools,3,Low
Male,37,25 - 45,Caucasian,0,0,0,0,F,Forging Bank Bills/Promis Note,1,Low
Male,19,Less than 25,African-American,0,2,0,2,F,Poss Pyrrolidinovalerophenone,10,High
Male,21,Less than 25,Caucasian,0,0,0,2,F,arrest case no charge,6,Medium
Female,23,Less than 25,African-American,0,0,0,0,F,Driving While License Revoked,5,Medium
Male,49,Greater than 45,African-American,0,0,0,3,F,Grand Theft (Motor Vehicle),5,Medium
Female,60,Greater than 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,23,Less than 25,African-American,2,0,0,3,F,"Poss3,4 Methylenedioxymethcath",10,High
Female,20,Less than 25,Other,1,0,0,1,F,arrest case no charge,4,Low
Male,36,25 - 45,Hispanic,0,0,0,1,F,Felony/Driving Under Influence,3,Low
Male,30,25 - 45,Caucasian,0,0,0,0,F,Possession of Cocaine,4,Low
Male,22,Less than 25,Caucasian,0,0,0,2,M,Possess Cannabis/20 Grams Or Less,6,Medium
Male,34,25 - 45,Caucasian,0,0,0,1,M,Battery,1,Low
Female,50,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low
Male,40,25 - 45,Caucasian,0,0,0,0,F,arrest case no charge,7,Medium
Female,24,Less than 25,African-American,0,0,0,0,F,Aggravated Assault W/Dead Weap,4,Low
Male,42,25 - 45,African-American,0,0,0,1,F,arrest case no charge,1,Low
Male,28,25 - 45,African-American,0,0,0,1,M,Battery,3,Low
Male,26,25 - 45,African-American,1,1,0,6,F,Robbery / No Weapon,8,High
Male,21,Less than 25,Caucasian,0,0,0,3,M,arrest case no charge,7,Medium
Male,37,25 - 45,African-American,0,0,0,23,F,Battery on Law Enforc Officer,9,High
Male,35,25 - 45,African-American,0,0,0,2,F,Possession of Cannabis,5,Medium
Male,53,Greater than 45,African-American,0,0,0,2,F,Felony Driving While Lic Suspd,1,Low
Male,27,25 - 45,African-American,0,0,0,12,F,Driving While License Revoked,8,High
Female,28,25 - 45,Hispanic,0,0,0,0,F,arrest case no charge,2,Low
Male,36,25 - 45,African-American,0,0,0,14,F,Throw Deadly Missile Into Veh,7,Medium
Male,29,25 - 45,African-American,1,0,0,2,F,Aggravated Battery / Pregnant,5,Medium
Male,22,Less than 25,African-American,0,0,1,0,M,Unlaw Use False Name/Identity,9,High
Male,56,Greater than 45,African-American,0,0,0,5,F,Driving While License Revoked,3,Low
Male,52,Greater than 45,Caucasian,0,0,0,4,F,Grand Theft in the 3rd Degree,1,Low
Male,32,25 - 45,African-American,0,0,0,3,F,Battery on Law Enforc Officer,2,Low
Female,22,Less than 25,African-American,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",7,Medium
Male,53,Greater than 45,African-American,0,0,0,11,F,arrest case no charge,6,Medium
Male,21,Less than 25,Hispanic,0,0,0,0,M,Battery,3,Low
Male,22,Less than 25,Caucasian,0,0,0,0,F,Leaving the Scene of Accident,3,Low
Female,58,Greater than 45,Caucasian,0,0,0,2,M,DUI Property Damage/Injury,1,Low
Male,31,25 - 45,African-American,0,0,0,7,M,Aggravated Battery / Pregnant,3,Low
Male,22,Less than 25,Caucasian,0,0,0,1,F,False Ownership Info/Pawn Item,5,Medium
Male,42,25 - 45,Other,0,0,0,1,F,arrest case no charge,1,Low
Male,20,Less than 25,African-American,0,0,0,0,F,Grand Theft (Motor Vehicle),7,Medium
Male,29,25 - 45,Caucasian,0,0,0,0,M,Battery,6,Medium
Male,58,Greater than 45,African-American,0,0,0,21,M,arrest case no charge,7,Medium
Male,48,Greater than 45,Hispanic,0,0,0,1,M,Operating W/O Valid License,1,Low
Male,37,25 - 45,Caucasian,0,0,0,0,F,Crimin Mischief Damage $1000+,4,Low
Male,57,Greater than 45,African-American,0,0,0,1,F,Felony Petit Theft,5,Medium
Male,27,25 - 45,Caucasian,0,0,0,3,M,Fleeing or Eluding a LEO,1,Low
Male,29,25 - 45,African-American,0,0,0,2,F,arrest case no charge,6,Medium
Male,19,Less than 25,Caucasian,0,0,1,1,F,Felony Battery (Dom Strang),10,High
Male,36,25 - 45,Caucasian,0,0,0,2,M,Battery,1,Low
Female,24,Less than 25,Caucasian,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",5,Medium
Male,34,25 - 45,Caucasian,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,25,25 - 45,Hispanic,0,0,0,2,F,arrest case no charge,5,Medium
Male,20,Less than 25,African-American,1,0,1,1,F,arrest case no charge,10,High
Male,24,Less than 25,African-American,0,0,0,1,M,Battery,2,Low
Male,61,Greater than 45,Caucasian,0,0,0,4,F,arrest case no charge,1,Low
Male,30,25 - 45,African-American,0,0,0,1,M,Battery,1,Low
Male,24,Less than 25,Caucasian,0,0,0,0,M,Battery,1,Low
Female,46,Greater than 45,African-American,0,0,0,2,F,Grand Theft in the 3rd Degree,10,High
Male,41,25 - 45,Caucasian,0,0,0,0,M,Battery,1,Low
Male,20,Less than 25,Other,0,0,1,0,F,Possession of Cocaine,8,High
Male,27,25 - 45,African-American,0,0,0,13,M,Possess Cannabis/20 Grams Or Less,8,High
Male,28,25 - 45,Caucasian,0,0,0,1,F,Agg Battery Grt/Bod/Harm,4,Low
Male,28,25 - 45,African-American,0,0,0,5,F,Possession Of Alprazolam,10,High
Male,63,Greater than 45,Caucasian,0,0,0,2,F,Felony DUI (level 3),1,Low
Male,42,25 - 45,African-American,0,0,0,0,F,Aggravated Assault w/Firearm,1,Low
Male,23,Less than 25,African-American,1,2,2,6,F,Driving While License Revoked,6,Medium
Male,54,Greater than 45,African-American,0,0,0,28,F,Possession of Cocaine,9,High
Male,35,25 - 45,African-American,0,0,1,8,F,Felony Battery w/Prior Convict,7,Medium
Female,24,Less than 25,African-American,1,0,0,6,F,arrest case no charge,9,High
Male,54,Greater than 45,African-American,0,0,0,2,M,Battery,1,Low
Male,58,Greater than 45,African-American,0,0,0,12,M,DUI Level 0.15 Or Minor In Veh,6,Medium
Male,23,Less than 25,Caucasian,0,0,1,1,M,Resist/Obstruct W/O Violence,5,Medium
Male,35,25 - 45,African-American,0,0,0,1,M,Battery,2,Low
Male,20,Less than 25,African-American,0,0,0,1,F,Fraudulent Use of Credit Card,10,High
Male,51,Greater than 45,Caucasian,0,0,0,0,F,Felony Battery (Dom Strang),1,Low
Male,47,Greater than 45,Caucasian,0,0,0,3,F,Drivg While Lic Suspd/Revk/Can,1,Low
Male,34,25 - 45,Caucasian,0,0,0,4,F,Possession of Cannabis,6,Medium
Male,56,Greater than 45,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low
Male,34,25 - 45,Hispanic,0,0,0,4,F,Burglary Dwelling Occupied,1,Low
Male,59,Greater than 45,Caucasian,0,0,0,1,F,Burglary Dwelling Assault/Batt,1,Low
Male,35,25 - 45,Asian,0,0,0,0,F,Burglary Structure Unoccup,6,Medium
Male,58,Greater than 45,Hispanic,0,0,0,1,F,Possession Burglary Tools,1,Low
Male,29,25 - 45,Hispanic,0,0,0,2,M,Driving Under The Influence,4,Low
Female,24,Less than 25,Caucasian,0,0,1,6,F,Poss Contr Subst W/o Prescript,9,High
Male,21,Less than 25,Caucasian,0,0,4,2,M,Assault,9,High
Male,29,25 - 45,Caucasian,0,0,0,0,M,Battery,4,Low
Male,29,25 - 45,African-American,0,0,0,4,F,False Ownership Info/Pawn Item,4,Low
Female,59,Greater than 45,Caucasian,0,0,0,0,M,DUI Property Damage/Injury,1,Low
Male,38,25 - 45,African-American,0,0,0,0,F,Tampering With Physical Evidence,5,Medium
Male,26,25 - 45,Hispanic,0,0,0,7,F,Aggravated Assault W/Dead Weap,5,Medium
Male,52,Greater than 45,Hispanic,0,0,0,20,F,False Bomb Report,3,Low
Male,27,25 - 45,Caucasian,0,0,0,2,F,Possession of Cocaine,5,Medium
Male,51,Greater than 45,Caucasian,0,0,0,1,M,DUI Property Damage/Injury,1,Low
Male,35,25 - 45,Caucasian,0,0,0,1,F,arrest case no charge,2,Low
Male,52,Greater than 45,Caucasian,0,0,0,4,M,Battery,3,Low
Female,26,25 - 45,African-American,0,0,0,0,M,Battery,2,Low
Female,48,Greater than 45,Caucasian,0,0,0,0,M,Leave Accd/Attend Veh/Less $50,1,Low
Male,30,25 - 45,Hispanic,0,0,0,7,M,Battery,4,Low
Male,33,25 - 45,African-American,0,0,0,2,M,Battery,3,Low
Male,25,25 - 45,Other,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,Low
Male,59,Greater than 45,African-American,0,0,0,10,F,arrest case no charge,7,Medium
Male,29,25 - 45,African-American,0,0,0,5,F,Poss Contr Subst W/o Prescript,5,Medium
Male,20,Less than 25,African-American,0,0,0,0,F,Possession of Ethylone,4,Low
Male,25,25 - 45,Caucasian,0,0,0,4,F,Possession of Cocaine,4,Low
Male,23,Less than 25,Caucasian,0,0,0,0,M,Battery,9,High
Male,25,25 - 45,African-American,0,1,0,1,M,Battery,3,Low
Male,31,25 - 45,African-American,0,0,0,0,F,Trespassing/Construction Site,2,Low
Male,21,Less than 25,Caucasian,0,0,0,0,F,Grand Theft in the 3rd Degree,3,Low
Male,37,25 - 45,Other,0,0,0,1,F,Crim Use of Personal ID Info,1,Low
Male,25,25 - 45,Caucasian,0,0,0,0,F,Possession of Cannabis,3,Low
Male,35,25 - 45,African-American,0,0,0,0,F,Grand Theft in the 3rd Degree,7,Medium
Male,24,Less than 25,Caucasian,0,0,1,9,M,Viol Injunct Domestic Violence,10,High
Male,47,Greater than 45,Caucasian,0,0,0,1,M,Battery,1,Low
Male,43,25 - 45,Hispanic,0,0,0,2,M,DUI Level 0.15 Or Minor In Veh,1,Low
Male,23,Less than 25,Caucasian,0,0,0,2,F,Possession of Cannabis,2,Low
Male,42,25 - 45,African-American,0,0,0,8,F,arrest case no charge,5,Medium
Male,58,Greater than 45,African-American,0,0,0,6,F,Felony Petit Theft,6,Medium
Male,26,25 - 45,African-American,0,0,1,3,F,Grand Theft (Motor Vehicle),6,Medium
Female,48,Greater than 45,Other,0,0,0,0,F,Grand Theft in the 3rd Degree,1,Low
Male,63,Greater than 45,Caucasian,0,0,0,1,M,DUI Property Damage/Injury,1,Low
Male,22,Less than 25,African-American,0,1,0,3,F,arrest case no charge,7,Medium
Male,50,Greater than 45,African-American,0,0,0,3,M,Battery,3,Low
Male,38,25 - 45,African-American,0,0,0,0,F,Burglary Dwelling Assault/Batt,1,Low
Male,41,25 - 45,Caucasian,0,0,0,1,F,Sexual Battery / Vict 12 Yrs +,6,Medium
Female,30,25 - 45,African-American,0,0,0,0,M,Battery,3,Low
Male,44,25 - 45,Caucasian,0,0,0,11,M,Battery,3,Low
