Feature_A_(i),Feature_B_(2i),Feature_C_(-i),Constant_Feature,Random_Feature,Outcome
126,252,-126,1,0.8019859002940205,A
127,254,-127,1,0.7404676807815441,A
128,256,-128,1,0.35394898011032017,A
132,264,-132,1,0.9985188230254209,A
134,268,-134,1,0.08753180441541364,A
135,270,-135,1,0.45693399513245136,A
136,272,-136,1,0.5420084319709784,A
138,276,-138,1,0.7235440909847851,A
139,278,-139,1,0.08298791698125008,A
140,280,-140,1,0.2098672099761597,A
141,282,-141,1,0.9361882248606086,A
144,288,-144,1,0.6409335998781611,A
145,290,-145,1,0.31936333175165044,A
146,292,-146,1,0.6530281546879411,A
147,294,-147,1,0.7307944381478196,A
148,296,-148,1,0.3234850816431194,A
149,298,-149,1,0.5389870398960958,A
150,300,-150,1,0.7314529725710204,A
152,304,-152,1,0.10907559554219015,A
154,308,-154,1,0.328939054410314,A
156,312,-156,1,0.41848078614115325,A
157,314,-157,1,0.9756041135596359,A
158,316,-158,1,0.35344865233845213,A
160,320,-160,1,0.5547361732143491,A
161,322,-161,1,0.0891336921094471,A
162,324,-162,1,0.4086551213893691,A
163,326,-163,1,0.25029279515328706,A
166,332,-166,1,0.48687563784850674,A
167,334,-167,1,0.44445852567547495,A
168,336,-168,1,0.8907188245124945,A
169,338,-169,1,0.3061689856984916,A
170,340,-170,1,0.8798434225240414,A
171,342,-171,1,0.0745435733204598,A
174,348,-174,1,0.3830656923488178,A
175,350,-175,1,0.9920349123789985,A
177,354,-177,1,0.9851696042005833,A
179,358,-179,1,0.2919342053637328,A
180,360,-180,1,0.17815154104628128,A
181,362,-181,1,0.8538597292457968,A
183,366,-183,1,0.4790305279039493,A
184,368,-184,1,0.7147776404233779,A
185,370,-185,1,0.8017489925271069,A
186,372,-186,1,0.011498010784058432,A
187,374,-187,1,0.8371325712700731,A
189,378,-189,1,0.5492034535373715,A
190,380,-190,1,0.7308845633079191,A
191,382,-191,1,0.10921191130855845,A
192,384,-192,1,0.9234830037894185,A
195,390,-195,1,0.368353272569945,A
196,392,-196,1,0.8724991015739577,A
197,394,-197,1,0.2922377569551684,A
199,398,-199,1,0.5248936171304759,A
200,400,-200,1,0.3060569653180567,A
201,402,-201,1,0.26199665297179386,A
202,404,-202,1,0.47169304505146326,A
203,406,-203,1,0.1902830388180744,A
204,408,-204,1,0.9093441924168961,A
205,410,-205,1,0.7320098361501537,A
207,414,-207,1,0.5854106508314816,A
208,416,-208,1,0.3262330582153067,A
209,418,-209,1,0.510516524939833,A
210,420,-210,1,0.5126369798472399,A
211,422,-211,1,0.855642868013121,A
212,424,-212,1,0.31246113422227684,A
213,426,-213,1,0.8445645520264801,A
214,428,-214,1,0.4516985791113336,A
215,430,-215,1,0.22973536766060942,A
220,440,-220,1,0.9231317027545626,A
222,444,-222,1,0.743066243381264,A
224,448,-224,1,0.8476455748949766,A
225,450,-225,1,0.7932621032872628,A
226,452,-226,1,0.23826111084097823,A
227,454,-227,1,0.5115687808399548,A
229,458,-229,1,0.3279480873617552,A
230,460,-230,1,0.6259314303093111,A
231,462,-231,1,0.8971980029870462,A
232,464,-232,1,0.9908711908535485,A
233,466,-233,1,0.7584237246845656,A
234,468,-234,1,0.8237125253110059,A
235,470,-235,1,0.7584120604450391,A
236,472,-236,1,0.9575466519742649,A
237,474,-237,1,0.4113756427780252,A
238,476,-238,1,0.9612472393298356,A
240,480,-240,1,0.2764494259327396,A
241,482,-241,1,0.938353865972726,A
242,484,-242,1,0.6124703511727232,A
244,488,-244,1,0.5701127403098096,A
245,490,-245,1,0.16751459145622916,A
249,498,-249,1,0.9493041759216881,A
251,502,-251,1,0.9911899563397208,A
252,504,-252,1,0.8316434202957592,A
254,508,-254,1,0.5503637737372428,A
255,510,-255,1,0.9379948550290127,A
256,512,-256,1,0.304195182608067,A
257,514,-257,1,0.6041084664351004,A
258,516,-258,1,0.8429299266418653,A
259,518,-259,1,0.08317559390365592,A
260,520,-260,1,0.44232886396111537,A
266,532,-266,1,0.10830619248453244,A
267,534,-267,1,0.2849481034476822,A
268,536,-268,1,0.9421824520090991,A
269,538,-269,1,0.32528102413436866,A
271,542,-271,1,0.19006142689484962,A
273,546,-273,1,0.1804109096654538,A
274,548,-274,1,0.11257032597186623,A
276,552,-276,1,0.9777169062368408,A
278,556,-278,1,0.13597021502270445,A
281,562,-281,1,0.6771155863562527,A
282,564,-282,1,0.8813731959095698,A
283,566,-283,1,0.5462389635950663,A
284,568,-284,1,0.3746240959849827,A
285,570,-285,1,0.38273465364445847,A
287,574,-287,1,0.7221678025804639,A
288,576,-288,1,0.39451644860589097,A
289,578,-289,1,0.6956345046795808,A
295,590,-295,1,0.7309991588805963,A
296,592,-296,1,0.751624247387987,A
297,594,-297,1,0.8957926671717115,A
301,602,-301,1,0.678621897564474,A
302,604,-302,1,0.8445248735248361,A
304,608,-304,1,0.4354048305112247,A
307,614,-307,1,0.44452759464861724,A
308,616,-308,1,0.29044071739397614,A
309,618,-309,1,0.23874750145564017,A
310,620,-310,1,0.3791777074689626,A
311,622,-311,1,0.6689599395406561,A
312,624,-312,1,0.11640682191707508,A
314,628,-314,1,0.9680983063246806,A
315,630,-315,1,0.012781374179177019,A
316,632,-316,1,0.394203477821936,A
317,634,-317,1,0.2716687561530514,A
318,636,-318,1,0.982356478691016,A
319,638,-319,1,0.6218164244319097,A
323,646,-323,1,0.894204299513141,A
324,648,-324,1,0.29936365179074487,A
325,650,-325,1,0.6191946502475879,A
326,652,-326,1,0.03690349437327689,A
327,654,-327,1,0.013631094690395917,A
328,656,-328,1,0.23767222590019765,A
329,658,-329,1,0.5612583125587796,A
331,662,-331,1,0.7384855172912195,A
332,664,-332,1,0.6711491342736402,A
334,668,-334,1,0.7723776452809665,A
335,670,-335,1,0.5591999188833854,A
336,672,-336,1,0.16350656450403,A
337,674,-337,1,0.54553276576695,A
338,676,-338,1,0.9469766201838017,A
339,678,-339,1,0.7743384898720793,A
341,682,-341,1,0.4676774791530549,A
342,684,-342,1,0.38318136964683136,A
343,686,-343,1,0.5590817017998385,A
344,688,-344,1,0.44629035622831603,A
345,690,-345,1,0.6480063183173667,A
346,692,-346,1,0.815148612887458,A
349,698,-349,1,0.7263800352756986,A
352,704,-352,1,0.40752477742041615,A
353,706,-353,1,0.10496952066073251,A
354,708,-354,1,0.5420479648617993,A
355,710,-355,1,0.03444345273883331,A
356,712,-356,1,0.5019387836693746,A
358,716,-358,1,0.1606913529373336,A
361,722,-361,1,0.7248533491587095,A
362,724,-362,1,0.4449149795727033,A
363,726,-363,1,0.7439371159842326,A
364,728,-364,1,0.32026569031615437,A
365,730,-365,1,0.3694185732602101,A
366,732,-366,1,0.7883088102180945,A
367,734,-367,1,0.009431753548861166,A
368,736,-368,1,0.2569330702828112,A
370,740,-370,1,0.9240869149846782,A
371,742,-371,1,0.2989157114516917,A
373,746,-373,1,0.6130334048993574,A
374,748,-374,1,0.27561248698508045,A
375,750,-375,1,0.2709332579101378,A
376,752,-376,1,0.7325924887022567,A
377,754,-377,1,0.678657414669274,A
378,756,-378,1,0.7890655754445042,A
379,758,-379,1,0.9768988801162586,A
380,760,-380,1,0.9472071687964871,A
382,764,-382,1,0.8207048737119446,A
383,766,-383,1,0.5903819938969364,A
384,768,-384,1,0.7634237045485027,A
385,770,-385,1,0.37516038885827363,A
386,772,-386,1,0.834891335025827,A
388,776,-388,1,0.8535755010247054,A
389,778,-389,1,0.5018566589612492,A
390,780,-390,1,0.8419524347923883,A
391,782,-391,1,0.8299202942173313,A
395,790,-395,1,0.6267238074438565,A
396,792,-396,1,0.16492553218706107,A
397,794,-397,1,0.22107135132537903,A
400,800,-400,1,0.7185972171257222,A
402,804,-402,1,0.5074926719327431,A
403,806,-403,1,0.023153673121733442,A
404,808,-404,1,0.8037410046819706,A
406,812,-406,1,0.03982515835776257,A
407,814,-407,1,0.431160810420833,A
408,816,-408,1,0.9268482330062446,A
409,818,-409,1,0.4778728315800652,A
410,820,-410,1,0.3485024391686822,A
413,826,-413,1,0.17540967161125165,A
416,832,-416,1,0.1528358092022869,A
417,834,-417,1,0.952849313046448,A
418,836,-418,1,0.6426489537716861,A
419,838,-419,1,0.9036166532384952,A
421,842,-421,1,0.3100316077774148,A
422,844,-422,1,0.45421835131292554,A
423,846,-423,1,0.5346249499903778,A
424,848,-424,1,0.20761927554937865,A
425,850,-425,1,0.5561610000270887,A
426,852,-426,1,0.9851583240203498,A
428,856,-428,1,0.7502392296509925,A
429,858,-429,1,0.9552656214467534,A
430,860,-430,1,0.3503350747657311,A
432,864,-432,1,0.009732910446077048,A
434,868,-434,1,0.8136430768106707,A
435,870,-435,1,0.25992037883502095,A
440,880,-440,1,0.8062564737325466,A
441,882,-441,1,0.4250216874909256,A
443,886,-443,1,0.7840590074854497,A
446,892,-446,1,0.31679581611559915,A
447,894,-447,1,0.3900941042163707,A
448,896,-448,1,0.3833812594048591,A
449,898,-449,1,0.33145150487008557,A
451,902,-451,1,0.6900448584468925,A
452,904,-452,1,0.9512721208523415,A
453,906,-453,1,0.39516903429714223,A
454,908,-454,1,0.0389263465584716,A
455,910,-455,1,0.07106882344906051,A
456,912,-456,1,0.2996797103160549,A
457,914,-457,1,0.8249614345925032,A
458,916,-458,1,0.1899474468909772,A
459,918,-459,1,0.07771418984655731,A
461,922,-461,1,0.4499290343572615,A
462,924,-462,1,0.924962341235342,A
463,926,-463,1,0.0612500986114628,A
468,936,-468,1,0.6320419259309551,A
469,938,-469,1,0.7205731002761605,A
471,942,-471,1,0.5898053222234434,A
472,944,-472,1,0.8910701817005761,A
474,948,-474,1,0.4303517072854365,A
475,950,-475,1,0.6823065203912035,A
476,952,-476,1,0.9543852723607621,A
477,954,-477,1,0.8632755345077058,A
478,956,-478,1,0.0764677232812021,A
479,958,-479,1,0.3544980651228179,A
480,960,-480,1,0.5593498357898485,A
481,962,-481,1,0.9789209221281394,A
482,964,-482,1,0.06140087961272889,A
484,968,-484,1,0.17371535718610254,A
485,970,-485,1,0.16032435665697564,A
488,976,-488,1,0.1517002214555101,A
489,978,-489,1,0.5969715985027864,A
490,980,-490,1,0.4208080615948371,A
491,982,-491,1,0.8172100839411818,A
493,986,-493,1,0.7545530318165024,A
494,988,-494,1,0.9509054252239306,A
495,990,-495,1,0.5353236586329564,A
498,996,-498,1,0.2460840155670766,A
499,998,-499,1,0.20833379708727728,A
502,1004,-502,1,0.03006498819985337,A
503,1006,-503,1,0.6131987069751813,A
504,1008,-504,1,0.5602916286068992,A
506,1012,-506,1,0.35094998811839995,A
507,1014,-507,1,0.658448118779321,A
508,1016,-508,1,0.3060541151576892,A
509,1018,-509,1,0.9782876846996086,A
510,1020,-510,1,0.9412645886153952,A
511,1022,-511,1,0.8614912588697449,A
512,1024,-512,1,0.47198168067509827,A
513,1026,-513,1,0.13234226764840074,A
515,1030,-515,1,0.8930985053399444,A
517,1034,-517,1,0.36597632780641964,A
518,1036,-518,1,0.9857165955162195,A
519,1038,-519,1,0.5357077042739103,A
520,1040,-520,1,0.7182771415053689,A
521,1042,-521,1,0.07899269555290411,A
522,1044,-522,1,0.8576890768148474,A
524,1048,-524,1,0.7056693188849676,A
525,1050,-525,1,0.9390605661828081,A
526,1052,-526,1,0.04350827513202393,A
527,1054,-527,1,0.27448894741050056,A
528,1056,-528,1,0.5059555869560317,A
532,1064,-532,1,0.426165387847687,A
533,1066,-533,1,0.053151240462795735,A
534,1068,-534,1,0.9270328491647392,A
536,1072,-536,1,0.8286908529413636,A
538,1076,-538,1,0.35997044809730716,A
539,1078,-539,1,0.7331111547562698,A
540,1080,-540,1,0.9606465123861373,A
541,1082,-541,1,0.21179237568037101,A
544,1088,-544,1,0.00725679704380644,A
545,1090,-545,1,0.7315559512925025,A
546,1092,-546,1,0.051703560852298214,A
547,1094,-547,1,0.8257260063386134,A
549,1098,-549,1,0.9842726595689034,A
550,1100,-550,1,0.05435344307440804,A
551,1102,-551,1,0.6848244790888292,A
552,1104,-552,1,0.2051942797701125,A
553,1106,-553,1,0.8067468593278214,A
554,1108,-554,1,0.8566592861021727,A
556,1112,-556,1,0.5754209097067302,A
558,1116,-558,1,0.9489819250528171,A
559,1118,-559,1,0.9962773211976599,A
562,1124,-562,1,0.5301034602456073,A
563,1126,-563,1,0.6552928487368456,A
564,1128,-564,1,0.31358275145001824,A
566,1132,-566,1,0.34330946008892615,A
569,1138,-569,1,0.23033428742188866,A
571,1142,-571,1,0.07024121476847278,A
572,1144,-572,1,0.5729217985047085,A
573,1146,-573,1,0.5299255872798355,A
574,1148,-574,1,0.07457384053366523,A
575,1150,-575,1,0.907647260543251,A
576,1152,-576,1,0.6215009865395288,A
577,1154,-577,1,0.08000016006589106,A
578,1156,-578,1,0.37597251677116494,A
579,1158,-579,1,0.7987575215910023,A
580,1160,-580,1,0.297088315887745,A
581,1162,-581,1,0.40676274545200697,A
582,1164,-582,1,0.575937846819772,A
583,1166,-583,1,0.0493797501582901,A
584,1168,-584,1,0.22428025535025042,A
585,1170,-585,1,0.8628395894852418,A
589,1178,-589,1,0.8506409055859523,A
590,1180,-590,1,0.5347465464028762,A
592,1184,-592,1,0.10687899719603156,A
593,1186,-593,1,0.4540995174696383,A
594,1188,-594,1,0.6700577944168072,A
595,1190,-595,1,0.8137872277940899,A
600,1200,-600,1,0.039971929780422855,A
601,1202,-601,1,0.3454045383820389,A
603,1206,-603,1,0.4646821792302497,A
605,1210,-605,1,0.2002743517561667,A
608,1216,-608,1,0.524569965028447,A
609,1218,-609,1,0.1642842600642056,A
610,1220,-610,1,0.9991388514209734,A
611,1222,-611,1,0.7303543210304436,A
613,1226,-613,1,0.19645228897211253,A
614,1228,-614,1,0.18219362224099178,A
615,1230,-615,1,0.22410790038449224,A
619,1238,-619,1,0.6384683103815639,A
621,1242,-621,1,0.7124319516852103,A
622,1244,-622,1,0.26936000876650923,A
623,1246,-623,1,0.3676093511165056,A
624,1248,-624,1,0.7868034611211059,A
626,1252,-626,1,0.2064898226080546,A
627,1254,-627,1,0.06734156382084833,A
628,1256,-628,1,0.6327385287345331,A
630,1260,-630,1,0.5553781353895069,A
631,1262,-631,1,0.9779528052686185,A
632,1264,-632,1,0.5339528360807427,A
633,1266,-633,1,0.0908550890737495,A
635,1270,-635,1,0.09230906670480576,A
637,1274,-637,1,0.32362399118648677,A
638,1276,-638,1,0.13096956094017087,A
639,1278,-639,1,0.3406100379658129,A
640,1280,-640,1,0.8053158748990111,A
641,1282,-641,1,0.06848216038827504,A
645,1290,-645,1,0.4542921613631532,A
647,1294,-647,1,0.39895281771875835,A
648,1296,-648,1,0.6595203601690224,A
649,1298,-649,1,0.030841616474399203,A
650,1300,-650,1,0.7730694686076269,A
651,1302,-651,1,0.41430530973524404,A
653,1306,-653,1,0.11079361247289166,A
654,1308,-654,1,0.9473077574723736,A
655,1310,-655,1,0.36030186759800353,A
656,1312,-656,1,0.26922299621041834,A
657,1314,-657,1,0.6618274567629842,A
658,1316,-658,1,0.5600133232644029,A
660,1320,-660,1,0.736639192638209,A
662,1324,-662,1,0.44165391870880966,A
663,1326,-663,1,0.5273943249547693,A
665,1330,-665,1,0.8095715098194166,A
666,1332,-666,1,0.7897398894124356,A
670,1340,-670,1,0.7902523713769659,A
672,1344,-672,1,0.14860211053659755,A
673,1346,-673,1,0.046636926221635844,A
676,1352,-676,1,0.58976814949409,A
677,1354,-677,1,0.6291517447761883,A
678,1356,-678,1,0.3838766087461166,A
679,1358,-679,1,0.32677014705286356,A
682,1364,-682,1,0.19327719611557548,A
684,1368,-684,1,0.1227372814697213,A
686,1372,-686,1,0.044985829017040735,A
687,1374,-687,1,0.7729692600838747,A
690,1380,-690,1,0.809321750042001,A
691,1382,-691,1,0.8409857380537643,A
693,1386,-693,1,0.18406407849854156,A
694,1388,-694,1,0.17338869173641702,A
695,1390,-695,1,0.8748461618389791,A
696,1392,-696,1,0.9557286713890774,A
700,1400,-700,1,0.7501492673341359,A
702,1404,-702,1,0.21188029257857377,A
705,1410,-705,1,0.15265012214210083,A
707,1414,-707,1,0.3127403855062435,A
708,1416,-708,1,0.024516821100967978,A
709,1418,-709,1,0.9819311469125114,A
710,1420,-710,1,0.8715305479863846,A
711,1422,-711,1,0.8428559462501215,A
712,1424,-712,1,0.3322686129358515,A
714,1428,-714,1,0.5946450533544192,A
715,1430,-715,1,0.7969020571286004,A
716,1432,-716,1,0.5577195808015879,A
717,1434,-717,1,0.9628840465686813,A
718,1436,-718,1,0.26025938523265246,A
720,1440,-720,1,0.30037966961761,A
721,1442,-721,1,0.8885566524008132,A
722,1444,-722,1,0.8643108185656064,A
723,1446,-723,1,0.16901715284871965,A
725,1450,-725,1,0.5818590004752366,A
726,1452,-726,1,0.5134699330946384,A
727,1454,-727,1,0.7966208151220936,A
728,1456,-728,1,0.3377799078168393,A
729,1458,-729,1,0.5561792457695677,A
730,1460,-730,1,0.7907632920293803,A
731,1462,-731,1,0.4433061964369187,A
732,1464,-732,1,0.17704584860481443,A
733,1466,-733,1,0.05448007361766927,A
734,1468,-734,1,0.8924100516540633,A
735,1470,-735,1,0.384842081826567,A
736,1472,-736,1,0.21549748006330216,A
737,1474,-737,1,0.11766008071769851,A
738,1476,-738,1,0.3371828459961995,A
739,1478,-739,1,0.677380601839987,A
740,1480,-740,1,0.3370461269894819,A
741,1482,-741,1,0.0888591415746608,A
742,1484,-742,1,0.9834661444125509,A
743,1486,-743,1,0.8884384387639467,A
744,1488,-744,1,0.43938805425574157,A
745,1490,-745,1,0.32093350541401,A
746,1492,-746,1,0.44953384894114723,A
747,1494,-747,1,0.24224410913443728,A
748,1496,-748,1,0.5014227535687902,A
749,1498,-749,1,0.9668687645578863,A
750,1500,-750,1,0.2951161755165179,A
751,1502,-751,1,0.6121053871307213,A
754,1508,-754,1,0.6661897046965777,A
756,1512,-756,1,0.16533648639148024,A
758,1516,-758,1,0.767238092405418,A
761,1522,-761,1,0.06976139429105344,A
762,1524,-762,1,0.3499984465583802,A
763,1526,-763,1,0.6769668595988896,A
765,1530,-765,1,0.6019939977067417,A
766,1532,-766,1,0.43013423392536143,A
767,1534,-767,1,0.3722931444556249,A
771,1542,-771,1,0.005335982248789617,A
773,1546,-773,1,0.10406289620075193,A
776,1552,-776,1,0.009759344445729123,A
778,1556,-778,1,0.8849938703505023,A
779,1558,-779,1,0.49426958023609846,A
780,1560,-780,1,0.8932403690397421,A
783,1566,-783,1,0.019644418582389633,A
784,1568,-784,1,0.7255595921251184,A
785,1570,-785,1,0.016616053339009396,A
786,1572,-786,1,0.4681912313203088,A
787,1574,-787,1,0.39979437965853926,A
788,1576,-788,1,0.376104169953155,A
789,1578,-789,1,0.07883489383449871,A
791,1582,-791,1,0.22463135642620125,A
792,1584,-792,1,0.9733484615296845,A
793,1586,-793,1,0.13963302800436117,A
795,1590,-795,1,0.5395896651517039,A
796,1592,-796,1,0.2406015998880502,A
798,1596,-798,1,0.22945435521430813,A
799,1598,-799,1,0.23385532211225446,A
801,1602,-801,1,0.8764462327514305,A
802,1604,-802,1,0.05517141132614933,A
803,1606,-803,1,0.8732327110508629,A
805,1610,-805,1,0.08815852685948344,A
806,1612,-806,1,0.2857361724620323,A
807,1614,-807,1,0.6325027992787061,A
809,1618,-809,1,0.7238556095212819,A
810,1620,-810,1,0.7950250410134003,A
811,1622,-811,1,0.11377873137002126,A
812,1624,-812,1,0.7660825399665527,A
815,1630,-815,1,0.8440833293428097,A
817,1634,-817,1,0.46605773069554024,A
818,1636,-818,1,0.8304876551866441,A
819,1638,-819,1,0.7633597467884877,A
820,1640,-820,1,0.7001072328021962,A
822,1644,-822,1,0.6015896373461491,A
826,1652,-826,1,0.07097733825165331,A
827,1654,-827,1,0.2508385477975068,A
829,1658,-829,1,0.5622739041435653,A
830,1660,-830,1,0.4569648131236064,A
831,1662,-831,1,0.7379434045609077,A
832,1664,-832,1,0.0738170409604012,A
833,1666,-833,1,0.5095083949865293,A
834,1668,-834,1,0.4760787731853534,A
837,1674,-837,1,0.4734804374197361,A
838,1676,-838,1,0.3392995651596943,A
839,1678,-839,1,0.49581906820001587,A
841,1682,-841,1,0.11418244800345634,A
842,1684,-842,1,0.5799738643708684,A
843,1686,-843,1,0.7291448804318605,A
844,1688,-844,1,0.9193814529730828,A
846,1692,-846,1,0.39168487717537537,A
848,1696,-848,1,0.322430769022956,A
849,1698,-849,1,0.41689602296768336,A
851,1702,-851,1,0.7211729287524056,A
852,1704,-852,1,0.5802081695658857,A
853,1706,-853,1,0.5511310240075796,A
854,1708,-854,1,0.9449777400121517,A
855,1710,-855,1,0.9128649029513242,A
856,1712,-856,1,0.1627296085038955,A
857,1714,-857,1,0.19265124779012133,A
858,1716,-858,1,0.5555210029556992,A
859,1718,-859,1,0.27135414157971793,A
860,1720,-860,1,0.04124371547604033,A
861,1722,-861,1,0.7051450354164431,A
862,1724,-862,1,0.9897840150137442,A
863,1726,-863,1,0.06728150267896782,A
865,1730,-865,1,0.5624493434514002,A
867,1734,-867,1,0.8421523752574732,A
868,1736,-868,1,0.4565325717736727,A
869,1738,-869,1,0.2913796963232761,A
870,1740,-870,1,0.9683546774710977,A
872,1744,-872,1,0.2451945604171707,A
873,1746,-873,1,0.3044503990431475,A
874,1748,-874,1,0.9628421217536561,A
875,1750,-875,1,0.9420917520822463,A
876,1752,-876,1,0.6924414048623273,A
879,1758,-879,1,0.7440486340282879,A
880,1760,-880,1,0.821956037008383,A
883,1766,-883,1,0.16074149324420728,A
884,1768,-884,1,0.8264371713341339,A
887,1774,-887,1,0.7363956046015158,A
889,1778,-889,1,0.9033116510191067,A
892,1784,-892,1,0.20533036646482183,A
893,1786,-893,1,0.2046783851239362,A
894,1788,-894,1,0.8625436724929626,A
895,1790,-895,1,0.8626492226645293,A
896,1792,-896,1,0.8090490228053578,A
897,1794,-897,1,0.6831662237286785,A
898,1796,-898,1,0.8350274338804652,A
901,1802,-901,1,0.7266863698505613,A
902,1804,-902,1,0.8805893543016017,A
903,1806,-903,1,0.4298012037135258,A
906,1812,-906,1,0.7859513314841425,A
908,1816,-908,1,0.22381826811900063,A
909,1818,-909,1,0.9072747821522914,A
912,1824,-912,1,0.4532938446593624,A
913,1826,-913,1,0.9270978943326763,A
914,1828,-914,1,0.03092895409812324,A
917,1834,-917,1,0.21469640508414412,A
918,1836,-918,1,0.09168724982999421,A
919,1838,-919,1,0.2537738149870916,A
922,1844,-922,1,0.584197916722481,A
924,1848,-924,1,0.06020838218851121,A
925,1850,-925,1,0.49644776486261355,A
926,1852,-926,1,0.6837438293108188,A
929,1858,-929,1,0.7891103747067955,A
930,1860,-930,1,0.8287118780730128,A
931,1862,-931,1,0.8596857550542464,A
934,1868,-934,1,0.39695678974453197,A
936,1872,-936,1,0.8575198426772369,A
937,1874,-937,1,0.7281561925045402,A
939,1878,-939,1,0.6537897511652627,A
940,1880,-940,1,0.6240772970171617,A
944,1888,-944,1,0.7506517330377793,A
945,1890,-945,1,0.822771190003668,A
946,1892,-946,1,0.6016253859688949,A
947,1894,-947,1,0.9128194264250631,A
949,1898,-949,1,0.5145661420572911,A
951,1902,-951,1,0.7891137472673396,A
952,1904,-952,1,0.8401609642423521,A
953,1906,-953,1,0.10850604562100263,A
955,1910,-955,1,0.6566675014349809,A
956,1912,-956,1,0.7173298493916235,A
957,1914,-957,1,0.74377936983289,A
958,1916,-958,1,0.3478884838263492,A
960,1920,-960,1,0.6349542154593262,A
961,1922,-961,1,0.5472480110721717,A
962,1924,-962,1,0.9075764108144846,A
963,1926,-963,1,0.3477088015797719,A
964,1928,-964,1,0.7758738889474356,A
965,1930,-965,1,0.050687735759174735,A
966,1932,-966,1,0.3811730258588334,A
967,1934,-967,1,0.33676748886188534,A
969,1938,-969,1,0.6882378795526554,A
970,1940,-970,1,0.19711413112951914,A
975,1950,-975,1,0.19455283100238374,A
976,1952,-976,1,0.008882222039447996,A
978,1956,-978,1,0.3127260647072718,A
979,1958,-979,1,0.965155390402223,A
981,1962,-981,1,0.6378476222250233,A
982,1964,-982,1,0.9964938798252502,A
983,1966,-983,1,0.7747626977680618,A
985,1970,-985,1,0.011981182727577977,A
986,1972,-986,1,0.1497775949935195,A
987,1974,-987,1,0.6032130540698609,A
990,1980,-990,1,0.8827055855152461,A
991,1982,-991,1,0.5720774695028356,A
992,1984,-992,1,0.37918676677056473,A
993,1986,-993,1,0.11884947320871753,A
994,1988,-994,1,0.03577039097018875,A
995,1990,-995,1,0.49557837062542986,A
996,1992,-996,1,0.25884423201024076,A
